Start,End,Pollster,Sponsor,SampleSize,Pop,Text,Category,Include?,Yes,No,Unsure,Rep Sample,Rep Yes,Rep No,Dem Sample,Dem Yes,Dem No,Ind Sample,Ind Yes,Ind No
7/14/19,7/15/19,HarrisX,ScottRasmussen.com,1000,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,42,46,12,320,12,83,370,69,17,290,39,45
7/7/19,7/8/19,HarrisX,ScottRasmussen.com,1003,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,41,46,13,321,12,83,371,70,15,291,39,45
6/30/19,7/1/19,HarrisX,ScottRasmussen.com,1000,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,44,13,320,11,85,370,71,14,290,43,39
6/23/19,6/24/19,HarrisX,ScottRasmussen.com,1001,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,44,43,13,320,12,82,370,75,13,290,39,41
6/16/19,6/17/19,HarrisX,ScottRasmussen.com,1001,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,41,46,13,320,11,84,370,71,12,290,36,49
6/9/19,6/10/19,HarrisX,ScottRasmussen.com,1004,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,45,42,14,321,12,79,372,75,11,291,43,40
6/2/19,6/3/19,HarrisX,ScottRasmussen.com,1000,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,44,13,320,12,82,370,72,13,290,40,44
5/30/19,5/31/19,HarrisX,ScottRasmussen.com,1003,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,44,43,12,321,14,81,371,74,11,291,40,43
5/22/19,5/23/19,HarrisX,ScottRasmussen.com,1001,rv,Do you think the House of Representatives should formally launch an impeachment hearing against the president?,begin_inquiry,yes,39,44,18,320,13,83,370,64,16,290,36,36
5/3/19,5/4/19,HarrisX,ScottRasmussen.com,1002,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,41,44,14,321,10,84,371,71,12,291,37,45
4/21/19,4/22/19,HarrisX,ScottRasmussen.com,1003,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,41,45,15,321,11,81,371,70,12,291,37,47
4/18/19,4/19/19,HarrisX,ScottRasmussen.com,1004,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,42,45,13,321,10,85,371,70,17,291,43,39
3/28/19,3/29/19,HarrisX,ScottRasmussen.com,1002,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,37,48,15,321,9,85,371,70,16,291,29,50
3/24/19,3/25/19,HarrisX,ScottRasmussen.com,1001,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,42,47,11,320,13,84,370,73,17,290,34,48
2/22/19,2/23/19,HarrisX,ScottRasmussen.com,1000,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,47,39,14,320,11,82,370,78,8,290,46,33
1/19/19,1/20/19,HarrisX,ScottRasmussen.com,1000,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,45,41,14,320,9,83,370,77,12,290,43,34
12/12/18,12/13/18,HarrisX,ScottRasmussen.com,999,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,44,41,15,320,12,81,370,75,11,290,41,34
10/18/18,10/19/18,HarrisX,ScottRasmussen.com,1000,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,43,14,320,9,81,370,74,14,290,39,41
8/13/18,8/14/18,HarrisX,ScottRasmussen.com,1000,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,44,41,15,320,11,79,370,76,11,290,40,40
9/23/19,9/24/19,Ipsos,Reuters,876,rv,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should NOT be impeached, don't know",impeach,yes,39,47,14,381,10,85,374,69,15,90,32,51
5/6/19,5/7/19,Ipsos,Reuters,841,rv,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should NOT be impeached, don't know",impeach,yes,45,45,10,305,17,79,336,73,14,167,43,42
4/18/19,4/19/19,Ipsos,Reuters,1005,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should NOT be impeached, don't know",impeach,yes,40,42,18,344,16,74,353,67,16,210,36,46
8/16/19,8/20/19,Monmouth University,,800,a,"Do you think President Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,35,59,6,204,2,94,234,69,25,347,30,64
6/12/19,6/17/19,Monmouth University,,751,a,"Do you think President Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,35,59,6,192,4,94,240,63,27,305,30,64
5/16/19,5/20/19,Monmouth University,,802,a,"Do you think President Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,39,56,5,210,10,88,246,74,21,335,30,62
3/1/19,3/4/19,Monmouth University,,802,a,"Do you think President Donald Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,42,54,4,232,8,91,219,75,19,339,40,57
11/9/18,11/12/18,Monmouth University,,802,a,"Do you think President Donald Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,36,59,5,244,5,94,250,70,23,295,26,67
4/26/18,4/30/18,Monmouth University,,803,a,"Do you think President Donald Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,39,56,5,209,4,95,258,68,24,319,36,58
1/28/18,1/30/18,Monmouth University,,806,a,"Do you think President Donald Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,38,57,4,236,5,93,250,70,22,309,37,59
7/13/17,7/16/17,Monmouth University,,800,a,"Do you think President Donald Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,41,53,6,196,12,86,257,70,24,326,32,61
9/24/19,9/26/19,Morning Consult,Politico,1640,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,43,43,13,541,10,85,579,79,12,520,39,36
9/20/19,9/22/19,Morning Consult,Politico,1994,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,36,49,15,648,5,89,726,66,17,620,33,45
9/13/19,9/15/19,Morning Consult,Politico,1994,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,37,50,12,618,6,88,718,70,18,657,31,50
9/7/19,9/8/19,Morning Consult,Politico,1998,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,35,53,12,639,6,90,714,65,22,644,32,50
8/16/19,8/18/19,Morning Consult,Politico,1998,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,37,50,13,633,6,88,724,67,19,641,34,47
8/1/19,8/3/19,Morning Consult,Politico,1996,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,36,52,12,687,6,90,705,70,19,604,32,49
7/25/19,7/25/19,Morning Consult,Politico,1992,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,37,46,16,633,6,86,792,64,18,567,34,42
7/19/19,7/21/19,Morning Consult,Politico,1992,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,38,50,12,641,8,87,748,65,21,603,36,47
6/29/19,7/1/19,Morning Consult,Politico,1472,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,36,50,15,457,6,85,543,63,20,472,32,49
6/21/19,6/24/19,Morning Consult,Politico,1991,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,36,51,13,654,7,88,707,65,21,630,36,45
6/14/19,6/16/19,Morning Consult,Politico,1992,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,36,50,14,658,7,87,719,67,18,616,31,48
6/7/19,6/9/19,Morning Consult,Politico,1991,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,38,48,14,610,6,89,787,65,18,593,34,45
5/31/19,6/2/19,Morning Consult,Politico,1997,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,38,48,14,625,7,86,744,69,17,628,32,47
5/10/19,5/12/19,Morning Consult,Politico,1995,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,35,50,15,631,7,86,698,66,19,667,30,49
4/28/19,4/29/19,Morning Consult,Politico,1995,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,32,51,17,648,6,85,721,60,24,626,27,48
4/19/19,4/21/19,Morning Consult,Politico,1992,rv,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,34,48,18,600,7,84,742,59,22,649,31,44
12/13/17,12/15/17,NBC News/Wall Street Journal,,900,a,Do you believe that Congress should hold impeachment hearings to remove Donald Trump from office or not?,begin_inquiry,yes,41,54,5,225,7,90,288,70,25,306,40,53
9/17/18,10/1/18,Public Religion Research Institute,,2509,a,"Based on what you have read or heard, do you believe that President Donald Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,47,51,2,575,11,89,918,77,21,880,44,54
10/18/17,10/30/17,Public Religion Research Institute,,2019,a,"Based on what you have read or heard, do you believe that President Donald Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,40,56,4,525,6,91,580,69,27,839,40,56
4/9/19,4/20/19,Public Religion Research Institute,,1100,a,"Based on what you have read or heard, do you believe that President Donald Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,40,54,6,352,15,83,328,69,25,359,36,58
8/2/17,8/8/17,Public Religion Research Institute,,1002,a,"Based on what you have read or heard, do you believe that President Donald Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,40,53,7,257,7,91,295,72,24,388,38,53
2/10/17,2/19/17,Public Religion Research Institute,,1050,a,"Based on what you have read or heard, do you believe that President Donald Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,30,65,5,294,4,96,317,58,36,384,27,68
9/19/19,9/23/19,Quinnipiac University,,1337,rv,"Do you think that President Trump should be impeached and removed from office, or don't you think so?",impeach_and_remove,yes,37,57,6,414,4,95,441,73,21,334,34,58
7/25/19,7/28/19,Quinnipiac University,,1306,rv,"Do you think that Congress should begin the process to impeach President Trump, which could lead to his removal from office, or don't you think so?",begin_proceedings,yes,32,60,8,392,3,95,444,61,29,340,28,62
6/6/19,6/10/19,Quinnipiac University,,1214,rv,"Do you think that Congress should begin the process to impeach President Trump, which could lead to his removal from office, or don't you think so?",begin_proceedings,yes,33,61,6,376,2,97,401,62,32,340,35,57
4/26/19,4/29/19,Quinnipiac University,,1044,rv,"Do you think that Congress should begin the process to impeach President Trump, which could lead to his removal from office, or don't you think so?",begin_proceedings,yes,29,66,4,292,4,95,334,56,38,334,27,70
3/1/19,3/4/19,Quinnipiac University,,1120,rv,"Do you think that Congress should begin the process to impeach President Donald Trump, which could lead to his removal from office, or don't you think so?",begin_proceedings,yes,35,59,7,269,6,92,347,66,27,414,30,60
12/12/18,12/17/18,Quinnipiac University,,1147,a,"Do you think that Congress should begin the process to impeach President Donald Trump, which could lead to his removal from office, or don't you think so?",begin_proceedings,yes,35,60,5,287,8,91,344,64,31,424,32,63
9/6/18,9/9/18,Quinnipiac University,,1038,rv,"Would you like to see Congress begin the process to impeach President Donald Trump, or not?",begin_proceedings,yes,36,56,8,260,2,95,353,70,21,343,31,61
5/2/19,5/5/19,Rasmussen Reports/Pulse Opinion Research,,1000,lv,Should the House impeach President Trump?,impeach,yes,40,50,10,330,12,82,370,66,22,,,
8/20/19,8/25/19,Suffolk University,USA Today,1000,rv,"From your own point of view, do you think the House of Representatives should seriously consider impeaching President Donald Trump, yes or no?",consider,yes,37,57,5,290,7,91,335,69,22,353,33,62
6/11/19,6/15/19,Suffolk University,USA Today,1000,rv,"From your own point of view, do you think the House of Representatives should seriously consider impeaching President Donald Trump?",consider,yes,32,61,7,319,8,91,350,59,29,321,26,64
3/13/19,3/17/19,Suffolk University,USA Today,1000,rv,"From your own point of view, do you think the House of Representatives should seriously consider impeaching President Donald Trump?",consider,yes,28,62,10,340,6,92,367,53,34,277,24,61
10/18/18,10/22/18,Suffolk University,USA Today,1000,lv,"How about you, do you think the House of Representatives should seriously consider impeaching President Donald Trump?",consider,yes,39,54,7,359,3,95,376,69,21,254,43,45
8/23/18,8/28/18,Suffolk University,USA Today,1000,rv,"Based on what you know now, do you think the House of Representatives should seriously consider impeaching President Donald Trump?",consider,yes,44,47,9,317,9,88,371,71,18,299,47,40
9/25/19,9/26/19,SurveyMonkey,Business Insider,1078,a,Impeachment is the first step in the process of removing a president from office. Do you think the House of Representatives should impeach President Trump?,impeach,yes,45,30,25,335,15,64,448,73,9,,,
3/26/19,3/29/19,Washington Post/George Mason University,,640,a,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Donald Trump being removed from office?",begin_proceedings,yes,41,54,5,,,,,61,,,,
7/27/19,7/30/19,YouGov,Economist,1500,a,Do you think the U.S. House of Representatives should or should not try to impeach President Trump?,begin_proceedings,yes,35,45,20,337,8,82,553,63,17,600,28,45
7/21/19,7/23/19,YouGov,Economist,1500,a,Do you think the U.S. House of Representatives should or should not try to impeach President Trump?,begin_proceedings,yes,40,43,18,397,9,84,515,70,12,576,35,40
6/22/19,6/25/19,YouGov,Economist,1500,a,Do you think the Congress should or should not impeach and remove President Trump from office over allegations of obstruction of justice?,reasons,no,36,43,21,,14,,,64,,,30,
6/2/19,6/4/19,YouGov,Economist,1500,a,Do you think the Congress should or should not impeach and remove President Trump from office over allegations of obstruction of justice?,reasons,no,37,42,22,,14,,,69,,,27,
5/26/19,5/28/19,YouGov,Economist,1500,a,Do you think the U.S. House of Representatives should or should not try to impeach President Trump?,begin_proceedings,yes,35,47,18,379,9,84,520,65,16,590,28,47
5/18/19,5/21/19,YouGov,Economist,1500,a,Do you think the Congress should or should not impeach and remove President Trump from office over allegations of obstruction of justice?,reasons,no,38,41,20,,9,,,71,,,31,
5/12/19,5/14/19,YouGov,Economist,1500,a,Do you think the Congress should or should not impeach and remove President Trump from office over allegations of obstruction of justice?,reasons,no,36,40,24,,12,,,60,,,32,
5/5/19,5/7/19,YouGov,Economist,1500,a,Do you think the Congress should or should not impeach and remove President Trump from office over collusion with Russia in the 2016 presidential election?,reasons,no,32,44,24,,9,,,60,,,25,
5/5/19,5/7/19,YouGov,Economist,1500,a,Do you think the Congress should or should not impeach and remove President Trump from office over allegations of obstruction of justice?,reasons,no,35,43,21,,10,,,67,,,28,
9/24/19,9/26/19,YouGov,Huffington Post,1000,a,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,47,39,14,222,11,82,359,81,11,417,37,40
9/10/19,9/11/19,YouGov,Huffington Post,1000,a,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,43,41,16,238,16,79,358,74,12,401,35,41
8/9/19,8/10/19,YouGov,Huffington Post,1000,a,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,41,42,16,222,13,83,355,73,13,417,32,43
7/17/19,7/18/19,YouGov,Huffington Post,1000,a,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,40,44,17,264,9,86,317,75,9,412,31,44
6/14/19,6/17/19,YouGov,Huffington Post,1000,a,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,41,42,17,254,15,78,324,72,12,418,34,42
5/29/19,5/30/19,YouGov,Huffington Post,500,a,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,38,42,21,111,10,81,164,75,10,225,29,40
5/21/19,5/22/19,YouGov,Huffington Post,1000,a,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,45,40,15,229,16,80,368,77,11,400,35,41
4/18/19,4/19/19,YouGov,Huffington Post,1000,a,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,37,41,22,222,6,88,349,66,14,411,31,36
7/14/19,7/16/19,YouGov,Economist,1500,a,Do you think the U.S. House of Representatives should or should not try to impeach President Trump?,begin_proceedings,yes,36,45,19,407,11,82,496,64,18,592,29,43
8/26/18,8/28/18,YouGov,Economist,1500,a,Do you think the Congress should or should not impeach and remove President Trump from office over campaign spending violations of federal law?,reasons,no,38,39,23,,10,,,72,,,32,
8/26/18,8/28/18,YouGov,Economist,1500,a,Do you think the Congress should or should not impeach and remove President Trump from office over collusion with Russia in the 2016 presidential election?,reasons,no,41,37,22,,11,,,79,,,31,
9/25/19,9/25/19,Marist College,,745,rv,Do you approve or disapprove of the House of Representatives formally starting an impeachment inquiry into President Trump?,begin_inquiry,yes,49,48,4,216,6,93,268,88,10,261,44,50
9/3/19,9/4/19,Ipsos,,1116,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41,45,14,,10,80,,71,17,,36,47
8/12/19,8/13/19,Ipsos,,1116,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,44,42,14,,18,74,,71,16,,30,43
7/15/19,7/16/19,Ipsos,,1113,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43,44,13,,10,85,,73,14,,35,41
6/17/19,6/18/19,Ipsos,,1027,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43,44,13,,10,83,,73,14,,39,41
4/2/19,4/7/19,Ipsos,,401,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38,50,11.8,,,,,,,,,
4/1/19,4/6/19,Ipsos,,1021,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.5,46.3,13.2,399,10.8,82.7,393,73.1,15.4,,,
3/31/19,4/5/19,Ipsos,,1548,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.4,45.5,14.1,612,12,82.3,587,72.7,16.1,,,
3/30/19,4/4/19,Ipsos,,2291,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.7,45.5,13.8,914,12.9,81.8,879,72.1,16.4,,,
3/29/19,4/3/19,Ipsos,,2716,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.4,46.3,13.3,1048,12.5,82.2,1077,70.9,17.7,363,37,43
3/28/19,4/2/19,Ipsos,,3311,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,39.7,47,13.3,1269,12,82.8,1328,69.4,18.5,439,35.8,45.5
3/27/19,4/1/19,Ipsos,,3962,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,39.6,46.9,13.5,1496,12,82.6,1588,69,18.8,546,34.2,47.2
3/26/19,3/31/19,Ipsos,,4278,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38.8,46.7,14.5,1564,12.3,81.9,1664,68.1,19,655,33.8,48.3
3/25/19,3/30/19,Ipsos,,4224,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38.2,47.8,14,1523,11.9,82.7,1653,66.9,20.5,653,35,47.5
3/24/19,3/29/19,Ipsos,,4372,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38.4,47.8,13.8,1564,11.3,83.2,1742,66.6,20.4,671,35.6,47.4
3/23/19,3/28/19,Ipsos,,4146,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,37.7,48.8,13.5,1451,10.8,84,1683,65.2,21.9,636,35.2,47.8
3/22/19,3/27/19,Ipsos,,4632,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38.4,47.4,14.2,1673,11.5,83.1,1864,66.4,20,680,34.2,47.6
3/21/19,3/26/19,Ipsos,,4601,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38.7,46.8,14.5,1675,11.8,82.9,1843,66.4,19.5,664,35.2,45.9
3/20/19,3/25/19,Ipsos,,4242,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,39.3,45.8,14.8,1484,11.6,83,1762,66.5,18.9,611,36.6,45
3/19/19,3/24/19,Ipsos,,3852,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.7,44.9,14.4,1346,12.3,82.7,1690,67.1,18.3,497,37.9,42.9
3/18/19,3/23/19,Ipsos,,3592,a,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41.2,44,14.8,1274,12.4,82.8,1589,68.1,17.6,439,36.7,43.9
