"offer","spendlift"
"yes",378.4
"yes",-265.18
"yes",182.63
"yes",750.39
"yes",-23.84
"yes",368.09
"yes",456.39
"yes",-8.48
"yes",-466.26
"yes",-348.28
"yes",23.11
"yes",158.99
"yes",323.62
"yes",100.22
"yes",-833.05
"yes",34.36
"yes",-889.75
"yes",-421.85
"yes",311.02
"yes",68.1
"yes",1055.2
"yes",47.48
"yes",-200.93
"yes",531.64
"yes",563.21
"yes",-913.67
"yes",680.57
"yes",-331.47
"yes",-375.94
"yes",786.79
"yes",-302.67
"yes",-75.63
"yes",382.55
"yes",356.64
"yes",322.27
"yes",-78.93
"yes",248.01
"yes",-205.04
"yes",-1177.95
"yes",-322.06
"yes",685.17
"yes",935.87
"yes",402.31
"yes",450.39
"yes",141.27
"yes",491
"yes",1096.38
"yes",204.81
"yes",-130.14
"yes",-1149.47
"yes",-270.11
"yes",455.76
"yes",126.72
"yes",685.83
"yes",150.55
"yes",592.21
"yes",410.03
"yes",224.57
"yes",961.71
"yes",-836.92
"yes",403.5
"yes",-424.82
"yes",292.33
"yes",1033.1
"yes",88.83
"yes",-1.1
"yes",-167.4
"yes",-366.58
"yes",-273.88
"yes",-730.61
"yes",53.77
"yes",580.6
"yes",-457.87
"yes",177.92
"yes",1438.08
"yes",-130.51
"yes",50.31
"yes",-780.91
"yes",724.61
"yes",153.85
"yes",114.71
"yes",882.77
"yes",-550.35
"yes",-288.36
"yes",251.81
"yes",-1064.85
"yes",194.08
"yes",478.57
"yes",968.65
"yes",972.29
"yes",98.52
"yes",1162.49
"yes",-184.99
"yes",5.54
"yes",229.65
"yes",-207.21
"yes",-174.89
"yes",-4.95
"yes",331.81
"yes",636.7
"yes",763.35
"yes",409.35
"yes",693.56
"yes",1361.49
"yes",154.01
"yes",123.1
"yes",-1740.18
"yes",922.08
"yes",656.89
"yes",858.59
"yes",1647.12
"yes",-517.19
"yes",348.5
"yes",-284.35
"yes",777.06
"yes",-8.28
"yes",382.1
"yes",-913.76
"yes",310.42
"yes",-814.81
"yes",757.63
"yes",-456.37
"yes",-369.91
"yes",-437.22
"yes",-761.9
"yes",475.69
"yes",41.14
"yes",-240.72
"yes",20.01
"yes",46.92
"yes",-177.36
"yes",49.75
"yes",350.47
"yes",-413.53
"yes",2294.15
"yes",180.63
"yes",369.67
"yes",132.38
"yes",1257.69
"yes",-478.31
"yes",1395.54
"yes",348.23
"yes",1162.61
"yes",782.91
"yes",704.75
"yes",-599.37
"yes",180.5
"yes",60.25
"yes",-184.63
"yes",1377.34
"yes",218.54
"yes",136.45
"yes",405.57
"yes",-605.17
"yes",881.02
"yes",683.25
"yes",237.84
"yes",156.72
"yes",-83.5
"yes",-658.08
"yes",553.9
"yes",-116.16
"yes",-9.95
"yes",109.57
"yes",-444.13
"yes",703.54
"yes",-384.93
"yes",-203.76
"yes",-448.85
"yes",-847.91
"yes",-483.44
"yes",903.9
"yes",-225.92
"yes",640.27
"yes",735.67
"yes",560.22
"yes",-299.97
"yes",1152.12
"yes",-452.83
"yes",-504.18
"yes",-283.97
"yes",-484.79
"yes",1441.03
"yes",460.22
"yes",75.38
"yes",477.13
"yes",320.42
"yes",-352.14
"yes",-94.69
"yes",496.94
"yes",1318.44
"yes",-824.58
"yes",-301.14
"yes",-720.93
"yes",-682.66
"yes",15.71
"yes",-528.63
"yes",1282.01
"yes",900.3
"yes",-248.19
"yes",79.15
"yes",19.08
"yes",-264.02
"yes",-143.37
"yes",747.62
"yes",-768.96
"yes",-498.69
"yes",480.76
"yes",-595.03
"yes",-915.74
"yes",814.87
"yes",1075
"yes",853.02
"yes",632.04
"yes",809.57
"yes",25.35
"yes",-688.71
"yes",-564.51
"yes",1738.16
"yes",-623.57
"yes",-578.44
"yes",-763.74
"yes",-610.64
"yes",-467.03
"yes",361.26
"yes",228.05
"yes",-37.98
"yes",962.94
"yes",32.38
"yes",55.07
"yes",-198.07
"yes",129.26
"yes",388.23
"yes",-669.37
"yes",451.09
"yes",-617.64
"yes",1467.71
"yes",443.26
"yes",1100.93
"yes",1142.53
"yes",600.66
"yes",584.07
"yes",-78.51
"yes",-252.45
"yes",103.92
"yes",-22.08
"yes",-861.64
"yes",-143.74
"yes",-129.38
"yes",-361.35
"yes",-748.03
"yes",-755.85
"yes",-86.58
"yes",268.21
"yes",388.37
"yes",117.09
"yes",74.26
"yes",-354.48
"yes",-93.91
"yes",-206.36
"yes",-1428.18
"yes",-530.95
"yes",-373.67
"yes",411.3
"yes",-214.98
"yes",417.61
"yes",657.92
"yes",173.9
"yes",-576.43
"yes",548.22
"yes",698.74
"yes",330.6
"yes",622.39
"yes",-163.58
"yes",263.92
"yes",165.79
"yes",115.26
"yes",879.41
"yes",512.67
"yes",746.44
"yes",264.85
"yes",970.99
"yes",-286.96
"yes",380.6
"yes",-101.29
"yes",-158.32
"yes",810.39
"yes",406.89
"yes",-269.84
"yes",569.67
"yes",-746.28
