Teaching_Rating,Inter_Outlook_Rating,Research_Rating,Citations_Rating,Industry_Income_Rating,Num_Students,Student/Staff_Ratio,%_Inter_Students
65.1,33,68.2,86.6,48.5,39655,10.8,11
62.8,57.8,55.7,96.4,31.4,8653,10.1,19
54.7,93.3,77.3,72.3,48,14604,19.2,35
61,63.8,66,80.1,99.2,35565,31.5,20
70.6,85.5,47.7,87.1,37.1,2400,7.9,20
48.4,94.6,61.3,85.6,99.9,25028,16.2,33
58.4,87,66,77.3,42,34938,15.3,34
54.3,84.4,68.1,77.5,72.4,41868,20.2,28
52.2,66.5,64.7,87.4,62.8,24570,14.4,11
49.4,80.5,66.1,82.6,68.1,11385,23.8,36
49.2,89.3,62.8,82.4,76.7,34718,32.7,27
54.3,44.9,55.6,99.2,33.5,12528,5.7,17
48.1,55.8,64.3,88.1,89.1,30779,15.4,7
58,39,54.5,95.9,39.4,26518,7.3,8
57.8,51,49.5,97.7,30.3,24789,8.6,17
55,84,73.8,61.5,100,15920,19.4,25
53.5,35.3,61,88,98.5,46825,18,13
50.5,64.3,63.1,85.2,49.8,21222,17.1,10
49.3,56.3,58.9,93,38,36534,12.9,20
47.6,82.4,51.6,91.2,40,17906,14,25
47.9,86.4,51.9,87.7,34.4,15489,15.7,24
37.2,76.1,55.2,95.6,54.6,20580,18.9,18
57.9,69.2,72.2,60.2,35.1,33062,39.3,20
48.1,87.6,58.5,73.3,79.7,50882,40.5,36
43.3,63.9,56.9,84,92.4,24556,25.6,12
50.4,40.8,61.9,80.5,56.2,44501,12.4,12
41.6,85.8,48.3,92.3,31.6,22616,16,29
48.4,51.8,60.4,82.1,31.6,23505,15.1,6
47,58.2,59.8,79.3,59.2,28327,38.9,12
50.6,33.9,50.3,92.3,39.3,26485,5.8,10
47.4,90.3,53.1,78.2,37.7,18529,16.6,37
44.1,59.6,61,80.9,39.5,25266,18.2,12
49.8,83.3,42.7,86.2,45,27545,4.1,19
40.7,89.5,53.9,82.1,50,38309,25.9,33
47.4,60.3,51.1,80.5,100,26467,31.2,16
66.5,30.9,70.5,50,85.4,26389,13.9,10
49.7,92.3,47.3,78.8,30.6,8338,12.7,47
47.8,29.1,44.2,95.7,63.2,12161,3.6,10
70.6,26.1,69.3,46.6,79,22809,5.6,7
37.5,95.5,47.7,82.7,95.4,15626,18.9,48
48.3,51,37.1,96.7,48.9,12338,4.5,18
39.7,74.1,53.6,81.3,70.4,28251,11.5,15
51.6,53,46.6,83.2,53.1,51462,13.4,12
39.4,87.3,40,94.3,31.9,17755,18.8,28
54.4,52.7,39.3,82.5,80.7,15408,8.5,14
39.8,76.1,44.8,84.9,88,23823,19.3,15
42.4,81.9,48.8,80.1,43.4,23311,15.5,31
34.1,93.5,41.3,93.3,36.8,14260,14,40
49.3,56.4,54.5,72.7,31.8,25581,25.6,12
47.3,56.4,52.6,76.8,32.2,44750,15.7,15
39.5,94.7,33.1,88.3,99.9,12551,17.3,24
53.5,92.8,44.6,64.7,82.3,2429,4.8,30
37.9,66.6,35.1,99.7,41.7,6333,9,26
50.7,38.3,35.8,93.3,40.8,6178,6.6,16
49.5,90.4,31.5,85.4,44,26583,6.5,19
36.9,76.8,50.7,79.8,68.3,23895,13.6,14
39.9,59.2,41.8,91.6,48.9,26614,16.1,16
34.5,64.6,47.7,86.9,85.3,11761,85.8,15
47.6,47.6,48.1,81.7,33.7,11829,13.8,10
33.4,92.6,46.1,83.6,64.5,20851,20.7,27
49.4,54.1,56.3,63.2,98.1,37917,27.6,16
39.8,88.4,43.6,82,37.5,20925,13.5,29
54.2,46.3,53.1,67.2,52,462,16.5,5
46.3,84.2,45.5,69.6,92.6,38264,20.3,25
52.8,74.1,32.7,82.9,37.4,27862,8.7,18
49.1,33.7,47.1,76.7,100,3055,10.1,4
45,43.5,42.1,88.2,32.3,31331,8.4,9
42.1,54.2,54.5,71.2,88.3,32166,34.1,9
39.4,82,41.8,82.7,34.7,25295,16.4,23
40,83.7,42.5,76.6,82.9,14708,22.5,14
34.9,80.2,38.7,85.6,92.7,20040,12.1,18
51.7,47,39.7,75.2,99.4,36146,53.9,9
43.9,34.7,55.7,75.4,35.9,37032,17.3,8
40.3,46.3,44.1,85.6,58.2,39838,46.1,8
34.3,60.9,48.5,84.9,39.2,17713,13,10
39.7,36.6,37.6,96.4,35.7,29325,16.1,8
45.2,49.4,33.3,90.1,60.7,10410,10,14
35.1,92.7,33.2,91.2,34.4,8747,15.9,37
34,87,41.4,85.3,33.6,11512,14.9,33
34.9,98.5,40.5,78.5,72.4,15668,15,39
46.1,40.5,33.2,92,34.1,9259,6.4,17
43.7,77.4,39,79.2,36.7,27703,14.7,21
43.3,68.2,44.7,75.5,38.3,27139,18.8,18
34.1,48.5,51.2,82.5,31.1,31715,23.7,8
46.4,80.7,48.1,63.6,47.4,36299,21.6,23
41.5,81.1,48.5,68.4,37.5,17916,10.2,22
37.7,56.7,47.5,73.8,99.5,25294,24.6,16
33.4,88.3,37.2,86.1,30.6,12001,17.4,35
40.2,48.9,36.3,88.1,52.2,56959,13,11
40.8,92.6,50.5,63.6,30.2,34651,20.5,25
40.3,80.6,39,77.5,39.8,30144,15,27
31.1,45.6,34.2,99.9,36.1,17404,22.7,1
30.9,89.2,45.6,76.2,56,11964,13.1,22
40.3,50.3,40,83.8,34.9,30538,12.3,10
38.8,43.4,37.5,87.3,37.9,23845,10.2,12
43.3,33.9,40.5,75.9,100,9027,10,9
32.8,85.1,43.2,72.4,79.3,20771,30.1,26
31.9,83.5,28.7,92.7,28.5,14992,14.7,28
34.1,80.1,45.6,68.8,91.2,6631,12,26
51.4,36.7,53.5,53.8,97.5,24365,20.3,9
28.4,54.9,37.1,90.7,60.1,23280,16.3,6
39,84.4,44.3,63.9,78.1,12062,14.6,21
42.2,53.1,38,75,68.5,43280,43.4,11
32.8,85.4,30.9,85.9,36.6,18815,13.6,30
41.4,47.7,45.8,66.1,99.7,35487,37.4,12
39.7,55.8,27.9,89,37,9390,4.5,26
41.9,90.5,30.8,75.8,28,15521,18,25
75.4,57.8,66.7,8.6,95.7,30822,7.7,20
41.7,64,22.3,90.1,35.5,15286,5.7,14
38.7,38.6,41.8,79.5,32.4,36429,12.7,8
32.9,63.3,28,90.7,37.2,10901,18.3,13
39.3,85.1,37.3,69.9,34.2,12050,14.8,28
27.5,59.5,33.3,91.2,42.5,20626,22,12
32.1,86.6,27.8,86,31.7,14541,13.4,35
54.1,27.7,58,47.3,49.6,31891,11.9,7
37.3,85.1,29.9,77.8,50,9990,5,18
38.7,74.2,40.6,68.4,51,28856,42,19
29.7,91.4,31.4,82.6,43.1,12938,15.8,33
31.4,90.5,39.5,69.8,78,29787,18.9,28
38.5,49.2,37.4,78.9,31.1,47491,12.2,10
38.5,58.3,46.7,61.9,92.4,10930,59.1,12
34.3,71.3,41,70.7,57.3,8176,16,14
35,86.3,38.5,70.8,33.5,22193,24.5,23
45.8,55.6,41.4,64.6,31.9,17612,10.7,5
35.4,74.4,43.9,66.5,39.5,30726,24.2,14
28.5,58.3,39.8,81.8,30.3,26420,16.4,12
42.5,45.2,23.2,84.5,71.2,769,8.5,17
32.5,70,31.5,82.4,36.2,11623,11.1,12
30.9,78.1,31.6,82,34.6,23347,13.1,23
35.6,30.1,35.3,83.7,57.4,25674,16.9,9
28.3,47,25.7,97.3,38.6,5495,12.6,22
25.6,78.5,26.9,90.2,49.5,11628,15.3,25
34.6,50.9,35.8,79.1,47.9,26576,38.4,8
38.7,64.2,29,79.8,28.8,27603,15,17
32.4,31.9,38.1,84.6,32,83236,29.9,9
31.6,64.8,40.8,71.7,60.3,12346,30.3,16
34.1,60,29.3,83.3,46.8,13216,17.4,19
35.2,58.2,23.9,86.4,58.4,9187,11.2,10
25,99.8,26.7,84.8,38.1,5144,15.9,52
49.4,47.8,52.4,47.1,46.4,50657,21.4,9
37.3,61.1,22.2,83.8,68.4,6853,6.6,16
30.9,84.3,27.5,81.5,34.7,20174,15.2,29
25.6,69.5,18.1,100,37.7,2958,13.4,17
30.8,55.9,27.4,87.7,47.1,16841,43.2,8
30.5,64.9,22.9,91,29,27756,14.8,17
34.1,93.4,33.3,68.9,35.7,17940,17.9,30
25.1,71,28.4,73.8,43.7,17422,15.9,15
33.5,89.9,35.1,66.3,28.5,9454,17.2,38
39.3,39.9,29.5,73,34.5,85532,22.9,7
36.5,60.6,37.9,62,43.8,25668,19,19
33.9,70.1,36.7,67.8,52,28341,16.5,17
36.6,77.6,35.3,52.2,79.5,8605,11.6,15
32.1,81.6,26.7,76.8,50.1,10015,7.1,28
19.3,88.5,26.5,79.4,35.3,18293,42.7,19
30.4,78.3,29.4,65.2,50.3,15064,14.4,18
32.3,48.5,27,81.3,82.3,36051,46.6,11
41.6,65.6,30,69,31.7,2218,8,14
38.5,41.6,40.1,64.7,32,41226,31.8,7
32.3,87.4,32.9,64.1,60.8,10416,46.9,19
44.7,38.6,30.4,61.1,28,32175,12.2,11
44.7,48.1,23.5,65.7,29.5,20541,12,16
35.8,60.2,28.6,79.3,38.1,31861,9.3,15
29.3,79,35.2,63.3,45.1,22064,25.9,26
40.9,58.1,29.2,63.2,38,24313,9.2,17
41,32.3,26.7,73.5,54.1,27526,11.6,11
34.9,53.3,21.7,72.6,70.7,35609,32.6,10
34.2,58.6,21.6,83.2,31.6,16130,12.1,13
37.5,63.8,31.7,62.2,57.5,27227,16.2,12
26.6,81.7,14.6,89.1,33.9,7426,2.9,28
35.5,58.7,20.6,84,32.9,18539,15.1,26
27.8,21.4,15.7,96,44.6,2838,1.1,3
30.7,89.9,30.5,74.9,31.5,18600,20.3,21
37.1,69.9,36.7,61.5,41.5,36733,26.3,15
24.6,49.1,28.8,83.3,29,34691,26.9,15
30.8,29.6,17.8,97.4,42.5,17155,7.2,8
30.1,48.8,31.7,76.3,66.3,30025,22.2,12
26,81.7,27.8,74.9,45.5,1819,10.9,18
37.7,21.8,17.4,88.9,45.4,1855,2.1,5
38,34.7,37.3,61.5,32.6,120986,32.3,7
46.7,21.4,36.6,67.2,80.3,14290,7.9,2
24.8,45.1,35.7,73.4,99.8,31424,21.5,10
32.6,53.2,22,83,33.4,21908,10.9,24
40,52.7,44.5,55.7,99.8,24099,45.4,20
37.1,54.4,43.2,51.1,99.1,20300,53.6,18
27,90.1,35.1,66.9,42.3,24519,44.1,31
41,47.5,50.5,49.2,42.9,23977,24.4,4
24.3,52.3,26.7,86.8,41.8,16306,22.8,23
34.1,71.6,47.1,51.5,57.4,7576,22.4,10
45.3,29.3,42.7,49.4,74.7,17200,5,7
45.6,31.9,47.6,42.2,70.9,9586,7.3,13
20.6,70.2,30,79,36.6,17581,21.5,11
34.6,24.2,19.5,94.8,42.5,7326,4.6,5
38.6,73.6,32.4,59,59.7,27387,20.7,16
38.5,26.6,17.5,85,29.1,7867,11.8,7
26.2,68.4,31.5,76,99.7,23321,18.6,9
31.1,65.4,32.8,62.1,61.6,16099,24.2,17
36.7,63,22.1,64.9,33.1,71749,45.5,13
28.9,84.8,27.9,56.7,36.3,12830,18.8,30
32.2,52.6,31.2,60.1,56.4,12520,35.5,8
35.2,45.4,46.2,49.9,60.9,21428,67.8,8
25.3,54.6,22,71.7,30.6,51239,19.4,12
17.8,63.7,22.6,85.9,43.2,5570,25.4,15
28.5,35.5,30.3,71.8,83.7,5287,18.2,12
31.6,34.5,33,59.3,41,26769,19,5
23.7,41.6,34,70,98.7,19262,15.9,10
21.4,64.7,25.7,69.5,41.7,15655,22.6,15
41.1,39.2,30.5,52.2,30.9,33119,19.9,7
22.5,81.7,25.2,66.3,34.6,30251,22,21
16.2,61,16.2,91.4,28,13960,25.9,8
42.7,16.4,47.2,42.4,52.4,3318,8.2,1
31.2,35.4,29.4,61.5,54,29991,17.4,11
19,70.4,22.8,81.4,40.7,11713,21.9,11
32.9,46.8,33.9,52.9,46.4,25682,53.9,9
23.9,93,11.8,76.6,73.1,35889,8.4,21
21.2,53.5,27.1,74.9,82.4,4488,14.6,8
43.9,40.2,43.4,41.8,99.8,24043,15.8,14
29.1,69.7,36.6,46.5,98.9,20951,25.9,23
24.2,57.7,18.9,76.8,42.1,17866,7.7,10
37.2,50.4,32.2,54.2,58.6,29743,13.3,10
37.7,23.2,36.6,53,49.5,10221,13.5,5
27.3,76.5,25.4,68.5,41.9,14067,26.8,14
27.4,75.9,26.5,67.2,64.4,23508,21.9,18
36.1,49,30.5,60,40.7,30533,13.6,11
30.6,42.8,28.5,63.8,32.1,22578,16.8,9
46.8,26.6,45.2,37.4,76.1,23144,7.8,9
35.8,61.6,35.8,54.4,54.2,20488,22.1,10
28.8,76,35.6,56,73.7,33391,35.8,17
30.4,40.3,31.5,65.1,79.6,6671,15,16
29.9,90.1,20.1,65.3,33.9,2473,15.6,63
32.8,51.7,30,54.4,66.6,38675,46.3,13
36.9,26.6,10.9,85,29.9,11919,5.8,8
59.1,25.3,57.1,20.4,30.5,81402,14.6,4
23.2,61.4,29.2,72.8,42.3,26640,28.3,19
31.7,90.4,28.9,51.2,34.9,12063,16.6,38
31.4,38.3,20.8,77.1,36.3,19660,15.9,15
21.8,79.1,25.7,68,42.7,18340,23.8,21
29.5,39.3,23.2,81.4,41.3,24716,17,5
31.6,32.7,15.1,82.4,60.2,11902,6.9,17
39.1,35.3,19.3,67.8,32.4,11381,8.4,8
20.8,56.1,25,74.5,31.1,16667,11.9,7
34.1,77.3,32,54.6,86.5,26419,52,27
34.9,29.5,38.2,54.2,43.3,30850,18.6,10
25.8,86.8,28.4,59.3,57.9,16489,25.4,24
44.3,19.6,46,36.1,96.2,47508,15.9,5
21.6,72.2,18.9,67.2,31.3,9252,19.2,18
25.1,53.5,23.1,63,51.2,3837,8.2,7
35.6,48.6,30.9,46.9,33,28296,13,15
22.6,81.3,22.1,65.4,31,9567,19.5,22
30.9,50,32.7,50,46,18590,25.6,11
31.3,28.3,20.4,72.1,35.3,36108,15.7,6
35.9,43.1,25.6,57,30.9,25742,13,11
22.4,76.9,21.9,66.8,30,32713,30.4,17
33.9,93.7,33.3,38.6,28.9,12695,19.8,39
29.6,36.9,21.2,64.9,29.1,26622,17,7
30.1,41.7,23.5,61.3,32.6,10931,24,6
35.2,36.2,42,43.7,45.2,1394,9.6,8
30.9,50.3,33.8,51.5,52.8,9163,41.2,13
23.6,95.7,16.9,67.3,39.9,18209,16.9,39
21.9,25.5,12.3,87.5,42.4,23321,12.2,6
24.6,87.2,19.1,60.9,28.8,17638,14.4,27
36.5,43.2,36.9,39,69.6,22401,62.7,12
28.5,90,27.2,52.3,33.1,27930,20,44
25.4,30.4,12.1,85.2,31.8,1211,0.6,5
30.5,37.7,24.2,64.8,40.9,58618,24.3,5
24.3,34.3,25.5,65.8,46.6,33370,72.5,5
38.7,54.4,16.7,59.5,31.9,36731,18.4,14
40.8,27.4,38.9,40.1,91.4,15529,7.9,10
24.7,21.1,14.8,81.3,47.4,83653,64.2,1
32.9,32,45.4,34.2,96.9,12646,16.6,5
43.9,27.5,24.1,52.8,28.1,7801,7.3,7
31.7,30.5,43.1,39.1,92.2,7446,17.4,11
31.9,52.6,20.8,57.5,63.5,11259,10.6,16
30.1,45.8,30.2,53.5,35.6,21789,16.4,9
18.3,39.4,10.4,87.8,29.8,8788,15.8,2
21.2,33.5,22.7,72.6,30.8,24418,20.2,11
25.7,37.9,22.6,74.6,32.6,62577,18.3,4
25,40.5,22.5,65.1,69.4,22958,40.6,6
19.3,64,18,75.2,28.5,24121,25.9,13
37.8,27.5,45.2,34,92.9,38191,12.8,6
19.2,71.8,14.7,79.7,28,22210,12.7,16
28.2,49.8,35,46.9,100,21849,23,8
25.5,71.6,23.4,64.4,32.8,46208,17.8,21
34.2,40.8,29.8,55.3,48.6,29143,88.9,10
30.8,61.9,33.3,52.1,28.8,13855,19.4,4
18.6,66.7,35.7,56.3,32.5,19011,43.8,19
26.5,47.3,18.5,74.1,32.3,18135,25.8,9
27.4,38.8,22.3,67.5,54.2,67552,66,6
27.1,66.2,21.2,65.8,31.2,12326,14.6,5
28.7,64.5,24.5,56.8,77.1,9020,17.1,16
18.8,22.3,15.7,85.5,32.1,14991,23.9,5
37.2,41.5,34.1,39.4,75.9,24774,11.6,14
30.2,58.2,30.8,49.1,33.2,48007,39.4,9
22.7,53.6,17.4,62,34,15799,23.3,14
18.6,47,19.2,73.6,34.5,14650,26.9,5
18,74.7,28.5,56.7,30,6880,22.9,8
31.2,46.3,14.6,57.7,36.3,20713,10.8,18
24.8,46.1,20.7,65.1,33.3,10798,17.3,6
21.7,38.5,20.4,72.1,35.9,54290,17.2,7
25.8,97.6,11.2,53.5,41.8,6848,10.8,34
26,69.3,15.8,52.9,77.2,7542,12.5,16
28,53.6,34.2,44.4,47.4,21643,28.3,4
33.9,54.3,32.6,31.1,87.9,16729,10.4,19
22.6,75,12.1,67.9,28.8,10441,11,25
34.9,33.9,26.5,52,42.3,40325,43.7,9
37.8,17.7,28.6,48.5,42.3,8327,14.9,1
22.2,43.7,25,59.8,38.8,11778,16.9,9
28.2,47.1,25.5,55.5,34.2,9703,15.2,5
27,78,28.5,45.4,43.7,22037,29,27
31.2,72.9,32.2,41.3,36.6,13951,15.9,22
27.1,57.8,26.9,49.7,41.8,28576,27.8,11
31.2,31,21,60.2,31.1,29885,14.1,5
18.7,34.2,15.6,72.9,32.3,19693,25.3,6
30.8,21.5,13.6,65.5,31,12470,15.2,3
24.6,75.6,22.8,50.2,36.6,7653,28,11
37,37.7,13.3,64.4,33.6,2857,2.6,8
16.3,59.9,25.8,59.8,51.8,17381,13.9,9
23.1,56.9,15.9,62.3,30.9,14056,8.5,6
53.2,47.6,47.6,6.8,28.3,42215,34.3,20
23.7,50.6,18.6,65.9,42.5,27709,19.6,16
23.1,35.9,21,64.8,37.5,36353,61.2,5
22.3,42.7,32.3,52.8,70,2739,15.9,6
20.3,25.9,27,62.7,29.3,27420,31.7,5
26.4,89,26.7,41.2,85.9,18971,26.2,32
31.1,24.5,21.5,58.7,30.3,29336,16.3,1
29.3,17.1,12.1,70.4,28,8003,17.1,2
44.6,21.1,42.3,22.6,49.4,27095,15.3,3
22.6,77.7,23.5,59.1,30.4,7828,15.9,22
31.9,37,24.6,45.7,79.4,51351,16.6,8
22.2,72.4,23.8,58.2,32.7,12801,17.1,20
21.5,84.8,20.2,53.4,32.2,20314,36.5,33
23.8,46.1,22.8,64.2,31.5,10269,13,3
34,28.6,18.2,58.3,41.6,33268,13.3,5
18.1,29.6,16.6,74.9,28.6,27520,26.9,6
26.5,66.1,18.7,58.8,36.8,10398,12.2,10
26.1,84.5,28.3,47.9,39.1,23819,26.1,32
15.1,39.4,9.5,81.7,31.5,26894,38.5,8
28.6,75.5,23.8,48.4,47.1,15805,22.3,15
23.6,38.3,13.1,76.1,36.6,25250,19.7,7
26,88.8,28.7,44.3,45.6,17142,21.1,21
29,39.6,28.2,49.6,57.1,24550,18.3,7
31.9,29.6,14.2,65.3,41.7,23065,10.7,7
42.2,28.9,16.5,41.1,35.9,11604,12,12
24.8,45.9,26.5,43.6,40.1,10791,17.8,10
28.7,31.7,21.6,48.8,45.4,51560,65.1,2
22.6,49.4,21.3,42.3,28.9,17503,16,5
32,70.6,12.6,35.2,28.8,14907,25.9,18
15.6,36.6,14.8,72.3,35.8,14076,25,7
18,35.8,14.7,55.8,33.7,23694,21.3,15
24.8,91.8,23.3,39.5,34.7,12613,17.6,38
23.9,38.1,27.8,48.9,32.3,19267,38.3,7
19.4,32.6,13.2,56.8,33.6,30638,51,1
23.5,91,22.5,38.9,52.1,12187,16.5,20
18.6,39,11.3,55.4,38.7,30304,18.9,10
31.5,52.8,21.5,41,28.2,51438,13,15
24,25.7,29.4,45,60.4,7983,15.4,8
23.5,89.6,21.2,43.5,28.9,13053,17.8,50
21.3,50.5,13.2,66.5,34.5,35308,16.1,11
28.3,46.2,26.5,42.4,34.8,22795,19,11
33.2,39.1,27.6,31.2,30.9,86519,17.5,13
19.3,77.4,23.4,36.4,30.9,31017,30.3,27
20.1,93.1,20.2,44.6,37.8,30333,17.1,38
26.1,76.7,25.2,36.3,51.7,8546,22.9,17
24.1,21.7,17.1,46.4,64.7,27140,15.5,5
23.9,34.3,18.3,50.4,57.6,17625,14.4,6
17.2,54.1,10.1,70.5,35.1,11718,34,2
17.7,41.8,17.2,63.3,35.9,18882,30.2,7
25.7,32.8,18.1,49.4,32.7,32566,25.9,7
27.2,38.8,14.2,59.3,42.3,37373,29.5,9
26.3,29.5,19.5,52.9,28.7,28534,20.4,5
24.9,68.9,16.3,53.3,29.3,20584,26.8,12
23.4,90.1,22.4,36.4,45.6,8773,17.8,43
40.3,27.9,32.8,29.3,53.7,18162,8.2,9
22.4,73.2,16.1,41.1,31.8,15141,18.7,20
28.3,32,19.4,40.8,32.4,11641,21.5,6
35.8,15.5,25.8,33.4,62.8,8371,17.3,1
33.2,13.3,30.5,41.4,31.7,9928,17.5,0
34.6,16.1,20.7,31.4,88.9,8234,15.9,1
14.5,36.9,17.7,56.4,32.9,20825,36.3,4
25.9,12.2,26,42.3,61.2,10311,23.9,0
19.2,58.5,13.8,51.6,37.4,19646,29.1,10
29.6,44.1,22.6,47.5,80.2,14184,54.4,14
20,72.7,17.6,53,29.3,8397,15.7,20
20.3,58.6,25.7,41.5,38.2,30572,24.9,6
26.1,46.4,27.6,39.2,89.4,24356,17.4,14
36.5,26.4,27.5,31.8,83.2,18925,6.7,8
23.9,36,15,58.2,38.9,6300,11.3,15
18.5,98.4,17,49.7,34.9,8521,14.9,31
15.1,58,10.6,70.7,28,37340,29.4,9
15.2,27.3,11,80.2,28,16589,23,4
21.3,28.2,18.2,61.3,31.7,13908,18.1,7
18.7,88.3,19.6,51.2,36.5,16606,32.8,43
42.7,35.9,40.2,14.8,63.7,137378,11.6,5
29.8,27.7,40.2,27.2,100,21234,14.4,11
27,63.6,10.6,41.8,40.3,6137,8.2,31
41.5,15.8,18.5,33.3,30.2,4496,5.4,2
26.9,44.5,21.9,38.3,41.3,18867,17.9,7
21.4,79.5,16.1,53.7,28.5,27304,20.3,22
41.4,32.4,30.8,26.2,38.2,7131,7.1,13
21,51.5,13.8,60.3,28.4,76683,35.9,9
25.7,68.9,18.8,42.7,28.4,14238,18.5,25
15.3,23.6,9.1,77.4,28,43875,22.4,1
17.7,36.8,16.6,56.4,37.1,26937,29.1,7
21.6,31.1,18.9,64.5,31.4,47247,18,4
25.2,63.9,14.8,44.7,40.9,22893,11.7,28
28.2,52.4,21.3,37,28,25075,15.3,7
32,45.4,28.2,37.2,38.7,32720,18.8,9
17.2,79.3,10.9,58.2,28.9,20161,19.1,23
24.7,82.1,17.7,44.6,37,29501,18.1,25
23.5,36.5,17.2,64.5,34.7,33504,26.5,6
20.8,41.5,14.8,66.9,30.9,12533,12.8,9
47.9,33,31.4,14.5,29.5,20836,5.2,7
29.6,24.5,13.2,53,36.2,19959,58.4,1
34.2,40.1,12.9,43.8,28.6,10788,17,17
30.8,52.9,22.4,39.7,62.9,19028,16.3,14
26.6,15.9,30.1,33.7,87.8,10977,18.7,0
23.7,39,17.8,45.2,33.2,18846,23.6,5
18.9,52.7,18.3,53.3,37.7,9026,32.8,15
25.6,31.4,35.3,35.5,28,15387,18.5,8
25.9,71,28,31.8,44.1,15705,20.2,20
23.5,41.9,13.7,63.7,40,10045,9.5,4
23.1,54,17.2,45.5,67.5,6147,15.5,13
39.3,23.1,18.3,36.6,59.5,2872,3.3,7
21.6,19.9,11.4,72.2,30.9,9303,9.9,4
40,34.4,30,33.7,42.9,15930,12.6,16
19.5,18.6,20.5,54,64.7,14037,13.3,3
19.1,79,13.2,44.1,29.2,19622,15.8,15
26.8,42.9,24.5,41.6,29.2,27046,24.7,9
26.3,51.7,14.6,44.7,31.1,16270,9,13
17.2,35,8.7,66.8,31.2,13435,37.4,7
22.7,40.5,16.9,49.6,31.3,58413,15.4,9
19.3,87,18.2,53.7,30.7,10159,17,25
20.1,54,24.6,52.3,30.7,30704,32.2,9
38.2,36.7,26.8,18,97.8,46227,14.4,7
24.5,7.7,25.7,34.8,55.7,14080,25.6,1
21.2,51.7,13.8,31.2,28,15773,16.9,2
25.5,25.9,17.4,30.3,36.9,22819,21.2,5
30.2,27.9,19.4,21,37.2,22386,17.6,4
27.9,35.4,12.5,32.1,28.6,37915,23.5,2
18.2,34.9,11.9,43.1,30.3,46373,15.3,5
44,15.6,23.7,3.1,68.1,18808,4,4
25.1,52.9,21.3,30.1,28.7,16695,12.6,2
21.2,38.3,17.2,45.4,35.5,11506,25,7
18.4,54.6,19.3,29.8,36.2,11221,28.6,24
19.9,61.3,24,32,30.4,25036,29.8,18
19.2,25.3,15.9,52.9,29.5,55859,49.7,1
20.9,50.8,11.4,43.7,32.5,11452,29.6,27
35.8,17.6,24.9,22.6,52.3,19342,12,1
29.9,43.7,27.6,17.4,61.3,13015,17.4,17
16.8,58.4,10.1,40.1,28.5,16812,19.1,21
24.6,30.6,14.7,43.3,42,29623,14,11
18.9,68.7,16.1,35,34.5,27491,16.1,16
