"","tweet_id","date","complaint_label","tweet_text","usr_followers_count","usr_verified"
"20",476905443772485632,2014-06-12 01:54:52,"Non-Complaint","@flyPAL i cant, you only allow facebook users",566,FALSE
"21",476906347599265792,2014-06-12 01:58:28,"Non-Complaint","@AirFranceFR avec grand plaisir !",114,FALSE
"22",476906745164337152,2014-06-12 02:00:03,"Non-Complaint","@united my most recent flight was disgusting. Crumbs on tray, gum on floor, and Cheetos in seat pocket http://t.co/Z5aCK9w6sE",306,FALSE
"23",476907317716598784,2014-06-12 02:02:19,"Non-Complaint","@DeltaAssist DM HJB7LD",109,FALSE
"24",476908760598716416,2014-06-12 02:08:03,"Non-Complaint","Win free flights from @flypal! Register to here: http://t.co/gfrGEcrQmC Be one of the 116 lucky winners! Happy Independence Day Filipinos!",221,FALSE
"25",476908912562540544,2014-06-12 02:08:39,"Non-Complaint","@Schadespeaks I miss your #hatetweets #USAirwaysyinks @usairways",48,FALSE
"26",476910501415632896,2014-06-12 02:14:58,"Non-Complaint","How i wish i have to chane to win in #PAL116FreeFlights   @flypal it's my dream come true ^^",488,FALSE
"27",476911100810637312,2014-06-12 02:17:21,"Complaint","Just asked @DeltaAssist if they had seats forward of row 25 the reply was at a cost oh dear &amp; we have 3 long haul flights booked. #ttot",7005,FALSE
"28",476911196126187520,2014-06-12 02:17:44,"Non-Complaint","Shoutout to me for fitting a weeks worth of stuff into a carry on. ✈️🌎 #RealMVP @AlaskaAir",286,FALSE
"29",476911311834476544,2014-06-12 02:18:11,"Non-Complaint","@SouthwestAir thanks for getting me to join Twitter....wanted to let you know my flight was cancelled.",0,FALSE
"30",476911332617633792,2014-06-12 02:18:16,"Complaint","@migs647 @VirginAmerica yeah 6 hours to get to LA is way too long though",919,FALSE
"31",476915275322130432,2014-06-12 02:33:56,"Complaint","@JetBlue no indication at gate 2 of flight from jfk to pwm.  am i in the right place? http://t.co/caOQHqUW93",245,FALSE
"32",476916082209341440,2014-06-12 02:37:09,"Non-Complaint",". @VirginAmerica rocks! http://t.co/VLrEqV8wA3",644,FALSE
"33",476918517321564160,2014-06-12 02:46:49,"Non-Complaint","@flyPAL Cebu! #PAL116FreeFlights Queen city of the South!!",1235,FALSE
"34",476920217533034496,2014-06-12 02:53:35,"Non-Complaint","@flyPAL Legazpi City. ❤ #PAL116FreeFlights",415,FALSE
"35",476922340899844096,2014-06-12 03:02:01,"Complaint","@AmericanAir you should reimburse tonight's hotel expenses .. But earlier this evening you could have done so much more to get me home today",448,FALSE
"36",476923651942809600,2014-06-12 03:07:14,"Non-Complaint","@shotgunconley @SouthwestAir 😧 damn son",149,FALSE
"37",476928909377028096,2014-06-12 03:28:07,"Non-Complaint","I just entered #WorldMarket Summer Getaway Sweeps for a chance to win a trip for 4 on @SouthwestAir. http://t.co/wlWVTFMyaY #SummerGetaway",604,FALSE
"38",476930106158362624,2014-06-12 03:32:52,"Non-Complaint","@USAirways going on a hour here unreal http://t.co/4k3A6qCt7f",239,FALSE
"39",476932361587032064,2014-06-12 03:41:50,"Non-Complaint","My family loved this cruise! Win a 7-day Hawaii cruise @CruiseNorwegian +airfare, courtesy of @HawaiianAir! http://t.co/z0Ca48XdC8",21603,FALSE
"40",476933591427842048,2014-06-12 03:46:43,"Non-Complaint","El #vuelo 854 de @united procedente de @iah está demorado. Tiene estimado arribar en el #JorgeChávez a las 00:16 am @Aeronoticias",491,FALSE
"41",476934129338945536,2014-06-12 03:48:52,"Non-Complaint","#palflieshaneda @flyPAL @RX931 Haneda; I will go to Ueno Park first because how I wish I can ""uwi no"" more!!!!  weeee! :) &lt;3",146,FALSE
"42",476936737696923648,2014-06-12 03:59:13,"Non-Complaint","@USAirways I have been on hold for 40 minutes.... Which might be acceptable if you DIDN'T CANCEL MY FLIGHT WITH LESS THAN 12 HOURS NOTICE!",459,FALSE
"43",476937781806399488,2014-06-12 04:03:22,"Non-Complaint","Today the last of our group returns home. Thanks @BrittanyFerries &amp; @AmericanAir &amp; Paul for your arrangements. An amazing trip in History",26,FALSE
"44",476940204830625792,2014-06-12 04:13:00,"Non-Complaint","@Delta @DeltaAssist DL3544 generally when there is an aborted landing, shouldn't the pilot let passengers know what's happening?",2678,FALSE
"45",476942845413052416,2014-06-12 04:23:30,"Non-Complaint","Hari ini hari terakhir event Malaysian Media FAM Trip loh cc: @BulanmaduComMy @IndonesiaGaruda http://t.co/22ELL3G85E",9982,FALSE
"46",476945458602840064,2014-06-12 04:33:53,"Non-Complaint","@flyPAL wala pa po bang result ng 1st draw? Hehe. can't wait to fly :)",27,FALSE
"47",476945907867336704,2014-06-12 04:35:40,"Non-Complaint","@flyPAL how will you announce the winners?",442,FALSE
"48",476948692138618880,2014-06-12 04:46:44,"Complaint","Hey @SunCountryAir - 1.5 hr late on 396 due to “slow cleaners” at sfo, not one apology. Pretty lame.",613,FALSE
"49",476950881733074944,2014-06-12 04:55:26,"Non-Complaint","Win Free Flights @flyPAL #PAL116FreeFlights 

6",76,FALSE
"50",476951586691121152,2014-06-12 04:58:14,"Complaint","@SouthwestAir Beyond disappointed in the lack of effort and communication around my cancelled flight and lost bags.",286,FALSE
"51",476964449530556416,2014-06-12 05:49:21,"Non-Complaint","@flyPAL LONDON!",59,FALSE
"52",476966474847117312,2014-06-12 05:57:23,"Non-Complaint","@British_Airways @kat_lally - Have to start earning some serious cash cause I'm never flying economy again! #BusinessClass #Comfort",71,FALSE
"53",476972013312303104,2014-06-12 06:19:24,"Non-Complaint","@SingaporeAir or the associated booking is fully flown/cancelled. 2/3",56835,FALSE
"54",476974075533750272,2014-06-12 06:27:36,"Non-Complaint","@flyPAL Singapore! :). #PAL116FreeFlights",378,FALSE
"55",476976990235275264,2014-06-12 06:39:10,"Non-Complaint","@flyPAL Singapore/Singapura! #PAL116FreeFlights",712,FALSE
"56",476977966199877632,2014-06-12 06:43:03,"Non-Complaint","“@flysaa: Enjoy amazing discounted fares on all your favourite destinations. Book now: http://t.co/GqP4WDmGjX http://t.co/k2mNHejzlq”",1391,FALSE
"57",476978943493275648,2014-06-12 06:46:56,"Non-Complaint","Ok I'm just gonna say it. I totally dig @emirates and so gotta get them for a reality show.",25,FALSE
"58",476986349237837824,2014-06-12 07:16:22,"Non-Complaint","La ligne #Bordeaux #Istanbul par @TurkishAirlines  inaugurée aujourd hui !  http://t.co/3iNlwBmEjR #osezbordeaux // http://t.co/NULBeyUk9M""",627,FALSE
"59",476986371341438976,2014-06-12 07:16:27,"Non-Complaint","#PAL116FreeFlights haven't been to cdo but it would be awesome if im on the blessed 10 people to be chosen @flyPAL 24",32,FALSE
"60",476986778906148864,2014-06-12 07:18:04,"Non-Complaint","#PAL116FreeFlights haven't been to cdo but it would be awesome if im on the blessed 10 people to be chosen @flyPAL 45",32,FALSE
"61",476987013095493632,2014-06-12 07:19:00,"Non-Complaint",".@IrishAero @Ryanair @JMulliganIndo Unfortunately, this won't happen anytime soon",1668,FALSE
"62",476987259019735040,2014-06-12 07:19:59,"Non-Complaint","#PAL116FreeFlights haven't been to cdo but it would be awesome if im on the blessed 10 people to be chosen @flyPAL 62",32,FALSE
"63",476987554776903680,2014-06-12 07:21:09,"Non-Complaint","#PAL116FreeFlights haven't been to cdo but it would be awesome if im on the blessed 10 people to be chosen @flyPAL 79",32,FALSE
"64",476987819525537792,2014-06-12 07:22:12,"Non-Complaint","#PAL116FreeFlights haven't been to cdo but it would be awesome if im on the blessed 10 people to be chosen @flyPAL 92",32,FALSE
"65",476988793975615488,2014-06-12 07:26:05,"Non-Complaint","@flyPAL Pls pang Honeymoon namin ng asawa ko...",6,FALSE
"66",476990098420928512,2014-06-12 07:31:16,"Non-Complaint","@flyPAL Davao my momd gome town ❤️ #PAL116FreeFlights",1013,FALSE
"67",476990955619639296,2014-06-12 07:34:40,"Non-Complaint","@Ryanair thank you.",149,FALSE
"68",476996777179373568,2014-06-12 07:57:48,"Non-Complaint","Tillbringa två nätter i #Prag! Tävla och vinn!

http://t.co/cLPlJiM0Ls

#Yasmin #resa @CzechAirlines @Fly_Norwegian http://t.co/7c13jcsutU",106,FALSE
"69",477000137038778368,2014-06-12 08:11:09,"Non-Complaint","@KLM Bijna 30 uur op onze koffers gewacht, maar ze zijn gearriveerd! Nu kan de vakantie pas echt beginnen. @Makou14 http://t.co/qHR3GRFq1l",1686,FALSE
"70",477000348079779840,2014-06-12 08:11:59,"Non-Complaint","Gotta be said. My @WhoSay is cool! Great social media platform in partnership with @AmericanAir http://t.co/gQ1zyi0D9T",51637,FALSE
"71",477001046167134208,2014-06-12 08:14:46,"Non-Complaint","@British_Airways loving the BBC series on BA. Just shows how terrible your airline is #travel #flying #oneworld #disability",56,FALSE
"72",477001231039094784,2014-06-12 08:15:30,"Non-Complaint","@KoreanAir_KE oh. Cus the taxi has an A380 on the side so was thinking they were gonna come.. Haha thanks anyway! :)",76,FALSE
"73",477005230849413120,2014-06-12 08:31:24,"Non-Complaint","Checked in, re-fuelling ready for the first leg of journey to #Montreal @TourismQuebec @KLM_UK  #MrMoose http://t.co/cSvwaF1n3y",1480,FALSE
"74",477008423448350720,2014-06-12 08:44:05,"Non-Complaint","@msaparna Thanks. Booked my folks on a Mumbai Bangalore return flight from @flyspicejet for 10,700/- Excellent deal!",1095,FALSE
"75",477008545637224448,2014-06-12 08:44:34,"Non-Complaint","@_austrian These kids have spent over a year raising 12000€ to volunteer in a village in Thailand for 2.5wks of their summer",9,FALSE
"76",477008791662505984,2014-06-12 08:45:32,"Non-Complaint","@TondaMacC critics say @AirCanada falsely accused them of ""faking"" proof of price-gouging after #RCMP funeral: http://t.co/hXasm8CMcr",418,FALSE
"77",477012314181619712,2014-06-12 08:59:32,"Non-Complaint","@Sonja_Ams @Mg2523Groot hey zus, je kan me ook mailen op mijn werkmail, grootobbink@klm.com. lees het wel maandag pas xxx",1,FALSE
"78",477013089762955264,2014-06-12 09:02:37,"Complaint","@AmericanAir My luggage still hasn't been found &amp; there's no answer at the Heathrow baggage office. Can you advise on the status please?",253,FALSE
"79",477014192705531904,2014-06-12 09:07:00,"Complaint","@Ryanair please check your http://t.co/ESUDneqC16 website, is not possible to manage flights nor checkins! ty",126,FALSE
"80",477016815630299136,2014-06-12 09:17:26,"Non-Complaint","%30 indirim diyorsun ama internet sitene ya da android uygulumana girince site ve uygulama hata veriyor. @ucurbenipegasus",417,FALSE
"81",477018139025485824,2014-06-12 09:22:41,"Complaint","@USAirways they've been waiting over 12 hours to leave. Commonsense fellas.",65,FALSE
"82",477021330232340480,2014-06-12 09:35:22,"Non-Complaint","@KLM Waarom kan ik niet online inchecken?",91,FALSE
"83",477024845071675392,2014-06-12 09:49:20,"Non-Complaint","@flyPAL domestic flights is okay for me! :D #PAL116FreeFlights",901,FALSE
"84",477026424130641920,2014-06-12 09:55:36,"Non-Complaint","@KLM @DeBesteSocial Congrats!! Jullie verdienen het!! Blijf zo door gaan in the future! xx :) 🔹💙🔹",99,FALSE
"85",477026743740809216,2014-06-12 09:56:53,"Non-Complaint","@Tinustali @flysaa . I agree Talifhani. I drive to Port Elizabeth and then fly on the cheapest airline to Cape Town. I do this monthly.",1,FALSE
"86",477031872929619968,2014-06-12 10:17:15,"Non-Complaint","@KLM @DeBesteSocial Heeft m'n stem toch zin gehad! ;-)",9,FALSE
"87",477031302181306368,2014-06-12 10:14:59,"Non-Complaint","I just entered #WorldMarket Summer Getaway Sweeps for a chance to win a trip for 4 on @SouthwestAir. http://t.co/vYUS6RHV4A #SummerGetaway",36,FALSE
"88",477032053561499648,2014-06-12 10:17:59,"Non-Complaint","@Saudi_Airlines @42623209  بالشوى !!! اهلًا و سهلا",972,FALSE
"89",477034617585664000,2014-06-12 10:28:10,"Non-Complaint","Je supporte le #Bresil dès 749€ à la battle @AirfranceFR #JeuAF http://t.co/npmBbdt28J",76,FALSE
"90",477036836662280192,2014-06-12 10:36:59,"Non-Complaint","@RyanAir Checked in and printed boarding pass, but received this. Please could you help asap as flight is tomorrow? http://t.co/qzP2ljqH7r",77,FALSE
"91",477038160140976128,2014-06-12 10:42:14,"Non-Complaint","Je supporte le #Bresil dès 749€ à la battle @AirfranceFR #JeuAF http://t.co/tqBQBYcic7",44,FALSE
"92",477039151934488576,2014-06-12 10:46:11,"Complaint","@USAirways Stuck in Charlotte since yesterday with hundreds of people, first flight of day to Philly...you guessed it, #delayed #disgusted",13,FALSE
"93",477039183438315520,2014-06-12 10:46:18,"Non-Complaint","@KLM All's good My flights booked! thank you for speedy reply! #KLM the only way to fly in Dutch &amp; European airspace!",894,FALSE
"94",477039861304918016,2014-06-12 10:49:00,"Complaint","@delta are you really going to access my iPhone data now that I plugged into your seatback USB? http://t.co/AU9xUtdbc9",215,FALSE
"95",477041686971813888,2014-06-12 10:56:15,"Non-Complaint","@flyPAL - me! me! me! ✈️👍😊",41,FALSE
"96",477041985992527872,2014-06-12 10:57:27,"Complaint","Because @USAirways couldn't find a working plane Sunday, they screwed up my tix on @UnitedAirlines for return flight today. #airlinefails",1629,FALSE
"97",477042197284798464,2014-06-12 10:58:17,"Non-Complaint","“@roueverveer: @KLM Vandaag m'n  laatste dag in Paramaribo. Neem je mij vanmiddag mee naar NL? #LeefEnLach” slijmen haha",14755,FALSE
"98",477045736484663296,2014-06-12 11:12:21,"Non-Complaint","@USAirways Seattle",414,FALSE
"99",477046176706203648,2014-06-12 11:14:06,"Non-Complaint","@KLM Where can i calculate the seat reservation pricing before ordering a ticket? (DKK)",14,FALSE
"100",477046201674498048,2014-06-12 11:14:12,"Complaint","Absolutely DISGUSTED with how @emirates treated me today....✈😤😡👎 complaint email sent! Wouldn't expect that from such a prestigious airline!",3380,FALSE
"101",477048901602537472,2014-06-12 11:24:55,"Non-Complaint","@FlyerTalkerinA2 dare I throw my brand new blog into your cauldron?? redeeming @United miles for 15 cents/mile: http://t.co/D9Vk5YcwQj",125,FALSE
"102",477052342710571008,2014-06-12 11:38:36,"Non-Complaint","@ant550044 @aeedalanaze @jasseralsagri @Saudi_Airlines فصيل قيران كلب وحقير جالسين تدافعون عن واحد يسب اعراض الناس",1,FALSE
"103",477054518534758400,2014-06-12 11:47:15,"Non-Complaint","@BrettWalkerCPGA @Tucksy1965 @AirCanada you should see this cluster fuck I'm in now.",113,FALSE
"104",477061209754046464,2014-06-12 12:13:50,"Complaint","@KoreanAir_KE does it mean from incheon airport, if i want to go to gimpo airport, it takes 150 minutes? i cant open the link though..",10,FALSE
"105",477065231684743168,2014-06-12 12:29:49,"Complaint","@British_Airways thanks for asking a research company to get my feedback. You could be on for worse scores ever! #britishairways",101,FALSE
"106",477065240668958720,2014-06-12 12:29:51,"Non-Complaint","Serta dihdr jg o/ Green School (sekolah binaan) @PTPERTAMINA 
Sbntr lg sy share foto2nya ya..
Also supp @Polygonbike @IndonesiaGaruda 
#AJS",227,FALSE
"107",477065316518735872,2014-06-12 12:30:09,"Non-Complaint","http://t.co/cSKDdoJhGy - UÇURMA BENİ.. PEGASUSSSSSS @ucurbenipegasus http://t.co/FmZlEwEk1r",573,FALSE
"108",477065433447923712,2014-06-12 12:30:37,"Non-Complaint","Je supporte le #Bresil dès 749€ à la battle @AirfranceFR #JeuAF http://t.co/eCHGg6U84x",424,FALSE
"109",477066114451902464,2014-06-12 12:33:19,"Non-Complaint","Pissed! @United Airlines retools MileagePlus to benefit big spenders. Screws me the freq bus trav trying to save $$. http://t.co/XaL5RxebqP",317,FALSE
"110",477066623652618240,2014-06-12 12:35:21,"Non-Complaint","A MILLION thanks to @AirAsia for the once-in-a-lifetime opportunity to Meet&amp;Greet @taylorswift13! #REDTourMalaysia http://t.co/Ba0aimyszB",20,FALSE
"111",477066783543668736,2014-06-12 12:35:59,"Non-Complaint","Je supporte le #Bresil dès 749€ à la battle @AirfranceFR #JeuAF http://t.co/6W2JpXkU5a",26,FALSE
"112",477068991375368192,2014-06-12 12:44:45,"Non-Complaint","Mi artículo favorito de #MyVuelingCity es el de Viena @Vueling",134,FALSE
"113",477070843265036288,2014-06-12 12:52:07,"Complaint","very disappointed by @SouthwestAir today. delay w/ no given reason out of SAT and no ability to rework to get us there till hours too late.",99,FALSE
"114",477070789347258368,2014-06-12 12:51:54,"Non-Complaint","@AmericanAir It wasn’t me! It was my dad who again has been flying w/ AA for over 35 yrs! He doesn’t miss things like that! #MovingOn",2183,FALSE
"115",477072351767449600,2014-06-12 12:58:06,"Non-Complaint","Ketika acara dimulai..
@AGRAWITAKA Jelajah Sumatera
Supp by @PTPERTAMINA @Polygonbike @IndonesiaGaruda 
#AJS http://t.co/B3pTBM54eV",227,FALSE
"116",477072680605466624,2014-06-12 12:59:25,"Non-Complaint","@SAS bløff!!! Jeg finner bare 714932 stk jeg!",152,FALSE
"117",477074352064978944,2014-06-12 13:06:03,"Non-Complaint","The new @VirginAmerica website is rather delicious... &gt;&gt; https://t.co/F64mfLveDW",752,FALSE
"118",477074565638930432,2014-06-12 13:06:54,"Non-Complaint","Mi artículo favorito de #MyVuelingCity es el deBolonia, la italiana con más 'salsa'  @Vueling",5,FALSE
"119",477076901115076608,2014-06-12 13:16:11,"Complaint","Hat tip to @DeltaAssist for working to resolve the problem. Bigger solution is better policy for passenger accountability. #theremaybehope",232,FALSE
"120",477077022695768064,2014-06-12 13:16:40,"Non-Complaint","@_austrian As a wine journalist and sommelier it is fabulous that you support your industry!",1728,FALSE
"121",477077346504036352,2014-06-12 13:17:57,"Non-Complaint","@flyspicejet I think this contest is only for those who are travelling for right? #ispottedsgredchill",207,FALSE
"122",477080260694249472,2014-06-12 13:29:32,"Non-Complaint","@DeltaAssist I bought a ticket yesterday and I'm flying out next Tuesday. Is this ticket refundable?",1195,FALSE
"123",477080740690010112,2014-06-12 13:31:26,"Non-Complaint","Not at all surprised - great service by @Delta on my flight to #Miami. In other news, it pays to smile and be nice when asking for favors :)",374,FALSE
"124",477080920806391808,2014-06-12 13:32:09,"Non-Complaint","@KLM No I haven't but I'll check it out! Thanks! 😃",69,FALSE
"125",477082225205182464,2014-06-12 13:37:20,"Non-Complaint","@coleswindell sounds like you need to get drunk on a plane...just not a @Delta plane",142,FALSE
"126",477084911560830976,2014-06-12 13:48:01,"Non-Complaint","The ONLY thing good about @AmericanAir is the music they play as you board.",843,FALSE
"127",477084997636341760,2014-06-12 13:48:21,"Complaint","@DeltaAssist Approaching 90 minutes now from sked departure and still at the gate. How does it feel to work for such a dysfunctional outfit?",2390,FALSE
"128",477086438035845120,2014-06-12 13:54:05,"Non-Complaint","Coucou @AirFranceFR pouvez vous me dire si la grève des agents au sol dimanche concernera également l'aéroport de Orly ? Merci.",322,FALSE
"129",477086517530079232,2014-06-12 13:54:24,"Complaint","Thought I signed up for badges&amp;flew less than week ago but I wasn't-lost out on badges/points-is there a window after to get these @jetblue",161,FALSE
"130",477088448822521856,2014-06-12 14:02:04,"Complaint","@delta everyone at this gate spent night here bec of canceled flights. Non-weather delay now is cruel &amp; unusual",2899,FALSE
"131",477088580427603968,2014-06-12 14:02:36,"Non-Complaint","@Ryanair still not working on iPhone or PC",58,FALSE
"132",477089463404093440,2014-06-12 14:06:06,"Non-Complaint","I'm at Balıkesir Koca Seyit Havalimanı (EDO) - @turkishairlines (Balıkesir, Türkiye) http://t.co/e1BHe1dhcP",13,FALSE
"133",477089746960007168,2014-06-12 14:07:14,"Non-Complaint","@x0sades @coleswindell @Delta ""delta, you ain't worth the cookies""😂",487,FALSE
"134",477089929785532416,2014-06-12 14:07:57,"Complaint","@AmericanAir I think you don't understand how frustrating it is...
Baggage service it's empty, I have to wait 30 minutes for your mistake!",176297,FALSE
"135",477091016466771968,2014-06-12 14:12:16,"Complaint","Seriously tho @united - there are a lot of airports- I can't always expect you to take me to the one on my ticket.",207,FALSE
"136",477091220036911104,2014-06-12 14:13:05,"Complaint","Quick question: has anyone ever had a @united flight that's not delayed departing or arriving?",8660,FALSE
"137",477094865147158528,2014-06-12 14:27:34,"Non-Complaint","And this one....My sister took the this photo of me in Cancun 🌞 @KLM http://t.co/XNTEGZ9ce0",72,FALSE
"138",477096732048621568,2014-06-12 14:34:59,"Non-Complaint","@JetBlue Cannot print boarding pass on Firefox or IE. Do you know of any issues?",102,FALSE
"139",477097046730493952,2014-06-12 14:36:14,"Non-Complaint",". @AirAsia India launches first flight from #Bangalore http://t.co/55s8oYuHOh via @timesofindia",370,FALSE
"140",477097335336337408,2014-06-12 14:37:23,"Non-Complaint","@timoreilly @united Southwest has tv over Wi-Fi for free, BYOD",265,FALSE
"141",477101401295060992,2014-06-12 14:53:32,"Non-Complaint","@USAirways Thanks to cabin crew on 742 Wed. nite - service was superb. Also made up all but 10 min on arrival time. #csatrocks",46,FALSE
"142",477102606821916672,2014-06-12 14:58:20,"Non-Complaint","@jbradfordinc @Delta @SethFornea awe. Sorry I told ya.... 😚 I know it's a little longer but try connecting and then you can upgrade.",3722,FALSE
"143",477104162208231424,2014-06-12 15:04:31,"Non-Complaint","@Icelandair clues please!",7,FALSE
"144",477105199858077696,2014-06-12 15:08:38,"Complaint","@Binladentweet @AmericanAir careful eh. Those people take that shit seriously.",119,FALSE
"145",477105254644088832,2014-06-12 15:08:51,"Non-Complaint","@united I'm due to fly from Belfast to Newark on Jan 17th 2015 but I have learned that flights from Belfast are now suspended on this date?",84,FALSE
"146",477106544862302208,2014-06-12 15:13:59,"Non-Complaint","@TAMAirlines e qdo estes canais nao resolvem?? Ja liguei 3 vezes. O que esperar da tam qdo houver um problema complicado?? Decepcionante :/",234,FALSE
"147",477108097954369536,2014-06-12 15:20:09,"Non-Complaint","@AmericanAir  Had a wonderful experience flying with you guys Monday..small details made the difference!",255,FALSE
"148",477109065873883136,2014-06-12 15:24:00,"Non-Complaint","My #birchbox! According to #jetblue I should be visiting Portland! Seems about accurate! @JetBlue @birchbox ❤️⚓️😊 http://t.co/Qwc4fLC3uF",374,FALSE
"149",477111340524654592,2014-06-12 15:33:02,"Complaint","@AmericanAir hey on the bright-side you guys did give me 6 hours heads up for the cancellation, better than canceling my flight last minute.",573,FALSE
"150",477111580467806208,2014-06-12 15:33:59,"Non-Complaint","@AlaskaAir @MichelleComm Hello Michelle, please let us know if there is anything we can do to assist you today :)",68014,TRUE
"151",477111772118151168,2014-06-12 15:34:45,"Non-Complaint","@AmericanAir said awww u didn't bring anything with you?? And said I can see if we have some crackers. .......",3831,FALSE
"152",477112571150237696,2014-06-12 15:37:55,"Non-Complaint","@AirCanada will operate year-round between the Newfoundland and Labrador regions and Europe this fall.
 http://t.co/LFo5kCFLCa",1752,FALSE
"153",477114418887536640,2014-06-12 15:45:16,"Complaint","@Delta would love to get a real person on the phone with some ticket voucher scam victim ruined our vacation person!",21,FALSE
"154",477115487801704448,2014-06-12 15:49:31,"Non-Complaint","@USAirways Flight attendant in first class on US3212 MSP-DCA today is being very rude to husband and others! No excuse!",38,FALSE
"155",477115659919163392,2014-06-12 15:50:12,"Non-Complaint","@USAirways @AmericanAir Rude travel agents are making him want to start using @Delta  more often!",38,FALSE
"156",477116750824501248,2014-06-12 15:54:32,"Complaint","I've never dealt with an airline as incompetent as @USAirways. Needless to say this is the last time I will ever fly with them.",261,FALSE
"157",477118350775304192,2014-06-12 16:00:53,"Non-Complaint","@AirFranceFR Je ne vois pas mon tweet dans votre fil d'actualité, est ce que ma participation a été prise en compte ?",7,FALSE
"158",477119160510472192,2014-06-12 16:04:06,"Non-Complaint","I KNEW THIS WAS GOING TO HAPPEN @united",307,FALSE
"159",477119606373756928,2014-06-12 16:05:53,"Non-Complaint","@united More comfort onboard?  Seriously? Have you ever actually spent more than 30min in one of those godforsaken slimline seats?",327,FALSE
"160",477120207849521152,2014-06-12 16:08:16,"Complaint","@AmericanAir I'm back. Now stewardess is taking a poll of who'd like to deplane here, Austin. This will make me miss my connection. Thoughts",80,FALSE
"161",477120562536263680,2014-06-12 16:09:41,"Non-Complaint","@agindre @AirFranceFR @fhollande @fcuvillier Quand les passagers se plaignent d'une pratique dont leur comportement est responsable...",86,FALSE
"162",477121343079866368,2014-06-12 16:12:47,"Non-Complaint","@united sent message",3,FALSE
"163",477122823136493568,2014-06-12 16:18:40,"Non-Complaint","Thanks @USAirways for taking great care of us when you left us mostly stranded. Not even a ride across the airport! http://t.co/bNb8es2tM6",139,FALSE
"164",477122902983471104,2014-06-12 16:18:59,"Complaint","@JetBlue no I'm sick I'll stick to my flight and discuss compensation when I get to the airport tonight last time I fly JetBlue horrible",561,FALSE
