"","doctor","difficulty","outcome"
"74","Nick","easy","success"
"75","Nick","easy","success"
"76","Nick","easy","success"
"77","Nick","easy","success"
"78","Nick","easy","success"
"79","Nick","easy","success"
"80","Nick","easy","success"
"81","Nick","easy","success"
"82","Nick","easy","success"
"83","Nick","easy","success"
"84","Nick","easy","success"
"85","Nick","easy","success"
"86","Nick","easy","success"
"87","Nick","easy","success"
"88","Nick","easy","success"
"89","Nick","easy","success"
"90","Nick","easy","success"
"91","Nick","easy","success"
"92","Nick","easy","success"
"93","Nick","easy","success"
"94","Nick","easy","success"
"95","Nick","easy","success"
"96","Nick","easy","success"
"97","Nick","easy","success"
"98","Nick","easy","success"
"99","Nick","easy","success"
"100","Nick","easy","success"
"101","Nick","easy","success"
"102","Nick","easy","success"
"103","Nick","easy","success"
"104","Nick","easy","success"
"105","Nick","easy","success"
"106","Nick","easy","success"
"107","Nick","easy","success"
"108","Nick","easy","success"
"109","Nick","easy","success"
"110","Nick","easy","success"
"111","Nick","easy","success"
"112","Nick","easy","success"
"113","Nick","easy","success"
"114","Nick","easy","success"
"115","Nick","easy","success"
"116","Nick","easy","success"
"117","Nick","easy","success"
"118","Nick","easy","success"
"119","Nick","easy","success"
"120","Nick","easy","success"
"121","Nick","easy","success"
"122","Nick","easy","success"
"123","Nick","easy","success"
"124","Nick","easy","success"
"125","Nick","easy","success"
"126","Nick","easy","success"
"127","Nick","easy","success"
"128","Nick","easy","success"
"129","Nick","easy","success"
"130","Nick","easy","success"
"131","Nick","easy","success"
"132","Nick","easy","success"
"133","Nick","easy","success"
"134","Nick","easy","success"
"135","Nick","easy","success"
"136","Nick","easy","success"
"137","Nick","easy","success"
"138","Nick","easy","success"
"139","Nick","easy","success"
"140","Nick","easy","success"
"141","Nick","easy","success"
"142","Nick","easy","success"
"143","Nick","easy","success"
"144","Nick","easy","success"
"145","Nick","easy","success"
"146","Nick","easy","success"
"147","Nick","easy","success"
"148","Nick","easy","success"
"149","Nick","easy","success"
"150","Nick","easy","success"
"151","Nick","easy","success"
"152","Nick","easy","success"
"153","Nick","easy","success"
"154","Nick","easy","success"
"155","Nick","easy","success"
"156","Nick","easy","success"
"157","Nick","easy","success"
"158","Nick","easy","success"
"159","Nick","easy","success"
"160","Nick","easy","success"
"161","Nick","easy","success"
"162","Nick","easy","success"
"163","Nick","easy","success"
"164","Nick","easy","success"
"165","Nick","easy","success"
"166","Nick","easy","success"
"167","Nick","easy","success"
"168","Nick","easy","success"
"169","Nick","easy","success"
"170","Nick","easy","success"
"171","Nick","easy","success"
"172","Nick","easy","success"
"173","Nick","easy","success"
"174","Nick","easy","success"
"175","Nick","easy","success"
"176","Nick","easy","success"
"177","Nick","easy","success"
"178","Nick","easy","success"
"179","Nick","easy","success"
"180","Nick","easy","success"
"181","Nick","easy","success"
"182","Nick","easy","success"
"183","Nick","easy","success"
"184","Nick","easy","success"
"185","Nick","easy","success"
"186","Nick","easy","success"
"187","Nick","easy","success"
"188","Nick","easy","success"
"189","Nick","easy","success"
"190","Nick","easy","success"
"191","Nick","easy","success"
"192","Nick","easy","success"
"193","Nick","easy","success"
"194","Nick","easy","success"
"195","Nick","easy","success"
"196","Nick","easy","success"
"197","Nick","easy","success"
"198","Nick","easy","success"
"199","Nick","easy","success"
"200","Nick","easy","success"
"201","Nick","easy","success"
"202","Nick","easy","success"
"203","Nick","easy","success"
"204","Nick","easy","success"
"205","Nick","easy","success"
"206","Nick","easy","success"
"207","Nick","easy","success"
"208","Nick","easy","success"
"209","Nick","easy","success"
"210","Nick","easy","success"
"211","Nick","hard","failure"
"212","Nick","hard","failure"
"213","Nick","hard","failure"
"214","Nick","hard","failure"
"215","Nick","hard","failure"
"216","Nick","hard","failure"
"217","Nick","hard","failure"
"218","Nick","hard","failure"
"219","Nick","hard","failure"
"220","Nick","hard","failure"
"221","Nick","hard","failure"
"222","Nick","hard","failure"
"223","Nick","hard","failure"
"224","Nick","hard","failure"
"225","Nick","hard","failure"
"226","Nick","hard","success"
"227","Nick","hard","success"
"228","Nick","hard","success"
"229","Nick","hard","success"
"230","Nick","hard","success"
"231","Nick","hard","success"
"232","Nick","hard","success"
"233","Nick","hard","success"
"234","Nick","hard","success"
"235","Nick","hard","success"
"236","Nick","hard","success"
"237","Nick","hard","success"
"238","Nick","hard","success"
"239","Nick","hard","success"
"240","Nick","hard","success"
"241","Hibbert","easy","success"
"242","Hibbert","easy","success"
"243","Hibbert","easy","success"
"244","Hibbert","easy","success"
"245","Hibbert","easy","success"
"246","Hibbert","easy","success"
"247","Hibbert","easy","success"
"248","Hibbert","easy","success"
"249","Hibbert","easy","success"
"250","Hibbert","easy","success"
"251","Hibbert","easy","success"
"252","Hibbert","easy","success"
"253","Hibbert","easy","success"
"254","Hibbert","easy","success"
"255","Hibbert","easy","success"
"256","Hibbert","easy","success"
"257","Hibbert","easy","success"
"258","Hibbert","easy","success"
"259","Hibbert","easy","success"
"260","Hibbert","easy","success"
"261","Hibbert","easy","success"
"262","Hibbert","easy","success"
"263","Hibbert","easy","success"
"264","Hibbert","easy","success"
"265","Hibbert","easy","success"
"266","Hibbert","easy","success"
"267","Hibbert","easy","success"
"268","Hibbert","easy","success"
"269","Hibbert","easy","success"
"270","Hibbert","easy","success"
"271","Hibbert","easy","success"
"272","Hibbert","easy","success"
"273","Hibbert","easy","success"
"274","Hibbert","easy","success"
"275","Hibbert","easy","success"
"276","Hibbert","easy","success"
"277","Hibbert","easy","success"
"278","Hibbert","easy","success"
"279","Hibbert","easy","success"
"280","Hibbert","easy","success"
"281","Hibbert","hard","failure"
"282","Hibbert","hard","failure"
"283","Hibbert","hard","failure"
"284","Hibbert","hard","failure"
"285","Hibbert","hard","failure"
"286","Hibbert","hard","failure"
"287","Hibbert","hard","failure"
"288","Hibbert","hard","failure"
"289","Hibbert","hard","failure"
"290","Hibbert","hard","failure"
"291","Hibbert","hard","failure"
"292","Hibbert","hard","failure"
"293","Hibbert","hard","failure"
"294","Hibbert","hard","failure"
"295","Hibbert","hard","failure"
"296","Hibbert","hard","failure"
"297","Hibbert","hard","failure"
"298","Hibbert","hard","failure"
"299","Hibbert","hard","failure"
"300","Hibbert","hard","failure"
"301","Hibbert","hard","failure"
"302","Hibbert","hard","failure"
"303","Hibbert","hard","failure"
"304","Hibbert","hard","failure"
"305","Hibbert","hard","failure"
"306","Hibbert","hard","failure"
"307","Hibbert","hard","failure"
"308","Hibbert","hard","failure"
"309","Hibbert","hard","failure"
"310","Hibbert","hard","failure"
"311","Hibbert","hard","failure"
"312","Hibbert","hard","failure"
"313","Hibbert","hard","failure"
"314","Hibbert","hard","failure"
"315","Hibbert","hard","failure"
"316","Hibbert","hard","failure"
"317","Hibbert","hard","failure"
"318","Hibbert","hard","failure"
"319","Hibbert","hard","failure"
"320","Hibbert","hard","failure"
"321","Hibbert","hard","failure"
"322","Hibbert","hard","failure"
"323","Hibbert","hard","failure"
"324","Hibbert","hard","failure"
"325","Hibbert","hard","failure"
"326","Hibbert","hard","failure"
"327","Hibbert","hard","failure"
"328","Hibbert","hard","failure"
"329","Hibbert","hard","failure"
"330","Hibbert","hard","failure"
"331","Hibbert","hard","failure"
"332","Hibbert","hard","failure"
"333","Hibbert","hard","failure"
"334","Hibbert","hard","failure"
"335","Hibbert","hard","failure"
"336","Hibbert","hard","failure"
"337","Hibbert","hard","failure"
"338","Hibbert","hard","failure"
"339","Hibbert","hard","failure"
"340","Hibbert","hard","failure"
"341","Hibbert","hard","success"
"342","Hibbert","hard","success"
"343","Hibbert","hard","success"
"344","Hibbert","hard","success"
"345","Hibbert","hard","success"
"346","Hibbert","hard","success"
"347","Hibbert","hard","success"
"348","Hibbert","hard","success"
"349","Hibbert","hard","success"
"350","Hibbert","hard","success"
"351","Hibbert","hard","success"
"352","Hibbert","hard","success"
"353","Hibbert","hard","success"
"354","Hibbert","hard","success"
"355","Hibbert","hard","success"
"356","Hibbert","hard","success"
"357","Hibbert","hard","success"
"358","Hibbert","hard","success"
"359","Hibbert","hard","success"
"360","Hibbert","hard","success"
"361","Hibbert","hard","success"
"362","Hibbert","hard","success"
"363","Hibbert","hard","success"
"364","Hibbert","hard","success"
"365","Hibbert","hard","success"
"366","Hibbert","hard","success"
"367","Hibbert","hard","success"
"368","Hibbert","hard","success"
"369","Hibbert","hard","success"
"370","Hibbert","hard","success"
"371","Hibbert","hard","success"
"372","Hibbert","hard","success"
"373","Hibbert","hard","success"
"374","Hibbert","hard","success"
"375","Hibbert","hard","success"
"376","Hibbert","hard","success"
"377","Hibbert","hard","success"
"378","Hibbert","hard","success"
"379","Hibbert","hard","success"
"380","Hibbert","hard","success"
"381","Hibbert","hard","success"
"382","Hibbert","hard","success"
"383","Hibbert","hard","success"
"384","Hibbert","hard","success"
"385","Hibbert","hard","success"
"386","Hibbert","hard","success"
"387","Hibbert","hard","success"
"388","Hibbert","hard","success"
"389","Hibbert","hard","success"
"390","Hibbert","hard","success"
"391","Hibbert","hard","success"
"392","Hibbert","hard","success"
"393","Hibbert","hard","success"
"394","Hibbert","hard","success"
"395","Hibbert","hard","success"
"396","Hibbert","hard","success"
"397","Hibbert","hard","success"
"398","Hibbert","hard","success"
"399","Hibbert","hard","success"
"400","Hibbert","hard","success"
"401","Hibbert","hard","success"
"402","Hibbert","hard","success"
"403","Hibbert","hard","success"
"404","Hibbert","hard","success"
"405","Hibbert","hard","success"
"406","Hibbert","hard","success"
"407","Hibbert","hard","success"
"408","Hibbert","hard","success"
"409","Hibbert","hard","success"
"410","Hibbert","hard","success"
"411","Hibbert","hard","success"
"412","Hibbert","hard","success"
"413","Hibbert","hard","success"
"414","Hibbert","hard","success"
"415","Hibbert","hard","success"
"416","Hibbert","hard","success"
"417","Hibbert","hard","success"
"418","Hibbert","hard","success"
"419","Hibbert","hard","success"
"420","Hibbert","hard","success"
"421","Hibbert","hard","success"
"422","Hibbert","hard","success"
"423","Hibbert","hard","success"
"424","Hibbert","hard","success"
"425","Hibbert","hard","success"
"426","Hibbert","hard","success"
"427","Hibbert","hard","success"
"428","Hibbert","hard","success"
"429","Hibbert","hard","success"
"430","Hibbert","hard","success"
"431","Hibbert","hard","success"
"432","Hibbert","hard","success"
"433","Hibbert","hard","success"
"434","Hibbert","hard","success"
"435","Hibbert","hard","success"
"436","Hibbert","hard","success"
"437","Hibbert","hard","success"
"438","Hibbert","hard","success"
"439","Hibbert","hard","success"
"440","Hibbert","hard","success"
"441","Hibbert","hard","success"
"442","Hibbert","hard","success"
"443","Hibbert","hard","success"
"444","Hibbert","hard","success"
"445","Hibbert","hard","success"
"446","Hibbert","hard","success"
"447","Hibbert","hard","success"
"448","Hibbert","hard","success"
"449","Hibbert","hard","success"
"450","Hibbert","hard","success"
"451","Hibbert","hard","success"
"452","Hibbert","hard","success"
"453","Hibbert","hard","success"
"454","Hibbert","hard","success"
"455","Hibbert","hard","success"
"456","Hibbert","hard","success"
"457","Hibbert","hard","success"
"458","Hibbert","hard","success"
"459","Hibbert","hard","success"
"460","Hibbert","hard","success"
"461","Hibbert","hard","success"
"462","Hibbert","hard","success"
"463","Hibbert","hard","success"
"464","Hibbert","hard","success"
"465","Hibbert","hard","success"
"466","Hibbert","hard","success"
"467","Hibbert","hard","success"
"468","Hibbert","hard","success"
"469","Hibbert","hard","success"
"470","Hibbert","hard","success"
"471","Hibbert","hard","success"
"472","Hibbert","hard","success"
"473","Hibbert","hard","success"
"474","Hibbert","hard","success"
"475","Hibbert","hard","success"
"476","Hibbert","hard","success"
"477","Hibbert","hard","success"
"478","Hibbert","hard","success"
"479","Hibbert","hard","success"
"480","Hibbert","hard","success"
