"","canc1","canc2","canc3","canc4","canc5","canc6","canc7","canc8","canc9","canc10","canc11","canc12","canc13","canc14","canc15","canc16","canc17","canc18","canc19","canc20","canc21","canc22","canc23","canc24","canc25"
"gene17",0.25,-1.07,0.15,1.37,0.21,-1.81,0.94,-0.63,0.76,-1.11,1.59,-0.2,0.93,0.43,-0.3,-0.48,0.11,-0.07,0.74,0.05,-2.08,-0.67,1.11,0.2,-1.65
"gene18",1.12,1.06,0.48,0.3,-0.76,0.72,-0.34,-2.44,-0.25,-0.43,-0.95,-0.74,-0.54,-0.17,-1.37,-0.29,-0.39,-1.41,-0.21,-1.8,-1.13,-1.48,-1.19,3.56,-1.41
"gene19",-0.73,-0.03,-1.59,0.67,1.24,0.46,-0.52,-1.52,0.27,-1.29,-0.42,1.81,-0.45,-0.34,2.38,0.08,0.79,-0.2,1.28,-0.77,1.03,1.07,-0.15,1.08,0.72
"gene20",-0.23,0.62,0.75,-0.59,-0.86,0.64,-0.91,-0.49,-2.17,-0.6,0.69,-0.85,1.08,1.55,-1.56,0.24,-1.01,0.82,0.2,1.33,1.23,-0.94,1.04,-1.74,1.22
"gene21",-0.79,1.91,1.6,-0.36,-0.81,-2.18,-0.87,-0.77,-0.65,-0.09,-0.27,-0.71,1.1,0.66,0.01,-1.19,0.36,1.06,-0.19,0.24,-1.04,0.46,-1.43,0.68,-1.3
"gene22",-0.25,-0.8,-0.14,1.5,1.21,-0.33,-1.11,0.04,-0.46,-2,0.24,-2.19,-0.09,0.36,0.82,-0.89,1.08,-1.42,1.71,-1.54,1.82,-0.92,0.29,-0.03,0.48
"gene23",1.52,0.74,-1.45,-0.49,-1.44,0.12,0.44,0.47,0.29,-0.59,1.93,0.56,-1.34,-0.22,-1.12,0.18,3.12,-1.65,0.56,-0.03,-1.76,0.56,-0.37,0.53,1.08
"gene24",0.97,0.38,-0.1,0.77,-0.71,0.11,-1.6,-1.67,1.42,-0.22,-1.59,2.31,0.04,0.43,1.93,0.1,-0.88,0.74,-0.6,-0.25,0.77,0.84,-0.8,0.35,-0.35
"gene25",0.28,1.38,0.25,-0.02,0.46,1.22,-0.59,-1,0.15,0.74,-0.72,0,-2.69,-1.58,0.76,1.47,0.68,-0.22,1.13,1.35,-1.7,-0.66,1.77,0.65,-1.28
"gene26",-1.05,-0.51,1.28,-0.92,0.16,-0.49,1.1,-1.02,-0.94,1.07,1.22,-0.53,0.9,0.31,-1.42,0.6,-1.64,0.76,0.08,1.04,-0.2,0.93,0.93,1.22,0.41
"gene27",0.95,1.55,0.29,1.06,0.22,-0.29,0.78,0.24,0.43,-0.81,0.72,-1.58,-0.14,0.21,-1.35,0,-0.31,1.23,2.12,0.25,-1.26,-1.09,0.28,0.85,0.8
"gene28",0.87,-0.66,1.26,-0.55,0.17,-0.44,-0.39,-1.25,0.29,0.44,-0.75,-1.35,-0.84,0.88,-0.24,1.84,-0.06,0.66,-1.06,0.75,1.15,0.89,0.41,-0.9,0.37
"gene29",1.74,0.58,2.05,1.84,-0.04,0.89,3.13,0.81,1.99,1.32,0.87,1.57,0.24,0.48,1.72,0.12,3.05,1.4,1.03,1.62,0.3,3.13,2.65,0.9,1.22
"gene30",-0.48,0.57,-0.24,-0.28,0.56,-1.24,1.53,-1.05,-0.56,0.74,0.48,-1.38,0.41,0.68,-0.05,-0.35,-0.72,-0.17,-1.52,-2.3,-1.39,-0.17,0.26,0.52,1.91
"gene31",0.42,-0.97,2.04,-0.58,-0.87,-0.42,-0.09,1.3,2.9,-1.06,1.53,-0.14,0.14,-0.57,0.43,0.04,2.26,-0.94,0.91,-0.26,-0.24,2.07,0.49,0.7,0.31
"gene32",-0.48,-0.46,0.04,-0.86,-1.28,-0.4,-1.55,0.02,1.7,-1.03,-0.77,-0.07,-1.03,-2.23,1.18,-0.1,-0.51,-1,0.56,-0.85,-1.17,0.57,0.56,-0.66,-0.08
"gene33",-1.07,1.07,0.79,-0.12,-0.88,1.43,-0.77,-0.61,0.55,-2.32,1.74,-1.25,0.34,0.59,-2.52,-0.36,0.29,0.28,0.07,1.15,-2.25,1.64,-1.2,0.15,-0.93
"gene34",-1.26,1.02,0.42,-1.62,-0.27,-0.16,0.85,-1.4,1.45,-0.06,-1.85,0.89,-1.72,-0.26,0.94,0.48,-1.56,-0.11,1.77,-0.23,0.46,-1.65,-0.81,-1.7,1.24
"gene35",-1.39,1.03,2.14,-0.91,-1.34,-0.61,-0.63,-2.58,-0.58,-0.02,0.72,-0.56,-0.8,0.58,1.72,1.12,1.94,-0.96,-0.28,0.42,0.92,-0.54,-0.11,1.69,-0.1
"gene36",0.19,0.15,3.19,2.38,-1.38,-0.86,0.29,-0.61,-0.33,-0.41,-1.31,1.35,-1.41,-0.15,1.02,1.18,2,-0.34,-0.46,-0.18,-0.34,-1.07,-0.12,-1.4,0.85
"gene37",-0.99,-2.97,-0.58,0.68,0.79,-0.31,-0.36,-0.98,-0.19,-0.49,-0.9,1.1,0.51,0.54,-0.48,0.51,1.39,1.14,-1.24,0.64,0.48,1.82,-0.75,-0.7,-0.63
"gene38",0.44,-1.27,0.13,-1.05,-1.39,-1.02,0.67,-0.05,-1.29,-1.47,-0.48,-1.04,-0.76,-0.32,-0.24,-2.3,-0.23,1.1,-0.3,-0.67,-0.29,-1.94,2.59,-2.15,-0.38
"gene39",0.14,-1.19,0.4,-1.82,-0.34,-2.8,-0.42,-1.57,1.02,0.75,0.78,0.41,-0.97,0.07,0.39,-0.61,0.01,-0.51,1.96,2.24,-1,-1.1,0.94,1.73,-1.03
"gene40",0.18,-0.07,-0.61,-1.77,0.17,-0.04,-1.98,0.26,0.3,-0.33,-0.05,0.32,0.96,-0.55,-0.7,-0.23,0.3,1.21,1.58,0.72,0.84,0.59,0.36,0.59,0.72
"gene41",-0.18,0.16,-0.14,0.97,-0.5,0.07,1.66,0.88,1.02,0.61,1.86,-0.61,1.3,0.3,-0.28,1.04,-1.64,0.1,-0.54,0.63,0.15,-0.58,0.05,-0.51,-0.39
"gene42",0.46,-1.92,-1.71,-1.63,0.35,1.3,-0.11,0.89,1.66,-0.3,-0.59,1.01,-0.93,-1.38,-1,-1.03,-0.2,0.62,-0.26,1.03,0.04,-0.39,1.74,0.18,-1.33
"gene43",0.53,0.29,0.61,-0.45,-0.18,-1.27,-0.43,-1.29,0.67,0.05,1.26,0.08,-0.32,0.41,1.45,0.41,1.06,-0.73,-0.01,0.27,0.73,0.35,0.27,0.97,0.55
"gene44",0.44,-0.65,-0.71,0.7,-1.05,-1.06,-0.37,0.75,3.11,-0.01,0.56,0.03,1.69,-0.33,-0.48,1.23,0.78,1.22,-0.2,1,1.39,-0.34,1.2,-0.43,0.3
"gene45",-1.32,1.39,0.46,0.63,-0.55,-1.35,-1.04,-1.39,0.19,-0.76,0.15,-1.63,-0.09,-0.78,0.31,-1,-0.49,-0.84,-1.64,0.1,1.7,2.06,1.42,0.37,1.14
"gene46",0.33,0.25,-0.55,-0.89,-0.26,-0.56,-0.08,0.94,0.28,0.44,-0.4,0.31,1.63,-0.22,0.03,1.13,0.61,-0.56,1.86,0.34,1.28,-1.05,1.6,-0.22,-1.14
"gene47",0.5,1.16,0.22,-0.08,0.15,0.4,-1.47,0.09,1.69,-1.35,-1.05,2.63,0.04,0.28,-0.52,1.1,-0.19,-0.36,-0.51,1.95,1.18,0.51,-2.19,0.36,1.14
"gene48",0.13,0.56,-2.72,-0.44,0.56,0.52,1.47,-1.84,-1.71,0.14,0.99,-0.45,0.6,-0.3,2.36,1.27,-0.8,-1.51,-0.38,-0.08,0.04,-0.52,-0.34,0.52,0.31
"gene49",0.7,0.04,-0.09,1.16,0.19,0.05,-0.82,-0.26,-0.6,-0.03,-0.63,-1.62,0.61,0.85,-2.06,0.43,-0.35,-0.17,0.3,0.87,-0.96,2.09,0.6,-0.41,0.92
"gene50",-0.27,-0.48,0.91,-0.07,1.05,-0.34,-0.64,-0.26,1,-1.22,0.62,1.15,0.88,-1,-1.37,1.25,2.04,0.79,-1.72,-1.41,1.03,-0.89,0.12,-0.86,-3.1
"gene51",1.89,1.26,-0.53,-0.53,0.45,0.38,2.14,-2.51,-1.33,-2.25,-0.73,2.25,0.65,0.62,0.51,-1.74,1.44,0.87,-0.86,0.64,0.37,-0.55,0.93,-2.09,-0.28
"gene52",-1.12,-1.76,-1.02,-0.37,0.32,1.21,-0.4,0.53,0.45,0.38,0.34,1.21,-1.37,2.09,1.06,-0.75,-0.7,1.31,-1.71,0.43,0.07,-1.11,-0.05,-0.77,-0.39
"gene53",0.79,0.07,2.08,0.42,0.76,1.38,1.26,0.16,-1.18,1.26,0.37,1.6,-0.08,-0.05,-0.19,-1.43,-1.27,0.11,1.19,0.81,-0.42,0.48,1.16,1.04,2.22
"gene54",2.36,0.11,-1.46,-1.26,-0.52,-0.45,1.24,0.73,-0.99,0.79,-2.07,1.67,-1.18,0.12,0.47,-0.76,0.23,-0.02,0.56,-0.24,0.65,0.48,-1.2,-0.11,-1.11
"gene55",-0.6,-0.72,-1.5,-1.12,0.23,1.21,-1.17,-0.24,0.62,1.2,-0.86,0.91,-0.78,1.71,0.97,1.22,0.61,-0.13,0.86,0.49,-0.27,-0.56,-0.4,-1.12,0.42
"gene56",-0.67,0.29,-0.56,0.08,0.66,-0.43,0.34,1.41,0.02,0.96,0.56,1.73,-0.05,0.62,1.22,-0.58,-0.62,0.38,-1.53,0.69,-0.67,-0.01,-2.05,-0.14,0.66
"gene57",0.76,1.12,-0.43,-1.33,-0.48,0.14,-1.03,0.14,-0.36,-0.62,1.75,0.08,-0.18,-0.42,0.95,-1.93,-1.18,-0.37,0.02,-0.39,1.03,-0.3,0.67,1.48,0.01
"gene58",0.43,-0.85,0.98,0.55,-0.11,1.33,0.67,-0.85,-0.76,0.14,1,0.75,1.53,0.75,0.48,1.67,0.5,1.4,-1.05,2.83,0.54,-0.22,0.83,1.57,-0.37
"gene59",0.28,-1.1,-1.2,0.21,-0.69,0.95,0.18,-0.61,1.49,-0.07,1.35,0.07,0.66,-1.76,-0.49,-0.07,0.19,0.38,1.77,-0.88,-1.52,0.13,-1.12,0.92,-0.56
"gene60",-0.91,-0.42,0.74,-0.36,0.78,-0.18,-0.12,-0.39,0.65,-0.86,0.41,-0.67,0.82,-0.37,0.14,-0.14,1.73,0.18,0.78,-0.87,-2.38,0.19,0.29,-0.76,0.3
"gene61",-0.84,0.43,-1.11,0.31,-1.05,-0.79,-0.27,-3.02,-0.97,1.76,0.33,-0.52,-0.17,0.79,1.62,0.09,0.48,-1.28,0.7,-0.84,0.56,-0.14,-0.38,-1.52,-0.46
"gene62",-0.43,-0.03,0.45,0.71,-0.7,0.65,-1.48,-1.26,-1.53,1.22,-1.32,-0.28,0.81,1.04,-0.54,0.31,0.88,0.04,-1.07,0.59,0.98,-0.19,-0.15,0.81,0.12
"gene63",-0.85,0.44,-1.67,-0.65,-1.33,-1.12,-0.62,1.14,-0.84,-0.32,0.83,1.35,-0.92,-0.25,-0.63,0.04,0.27,-1.27,-2.4,-1.61,-1.44,0.78,0.45,-0.65,-1.64
"gene64",1.34,0.03,1.68,-0.81,-0.58,0.78,1.21,-2.16,0.03,2,0.04,-1.3,-2.34,-1.73,-1.77,0.39,-0.78,-0.97,1.14,0.77,-1.46,-0.77,-0.19,-0.85,-1.37
"gene65",-0.82,-0.03,-0.34,-0.84,0.99,-0.89,-0.54,-0.07,-1.49,-0.18,-1.46,0.33,-0.19,-0.83,-0.73,0.08,0.2,-1.17,-0.27,0.15,2.42,-0.02,0.57,-0.94,0.58
"gene66",1.02,1.62,-0.03,2.22,-2.08,1.16,-1.91,1.09,1.49,0.78,1.04,-0.93,1.11,2.13,1.33,-0.97,0.41,0.55,1.28,1.9,-0.04,0.82,-0.09,-0.42,1
"gene67",0.96,1,0.37,1.06,1.4,1.81,0.15,0.97,-0.48,1.9,-0.08,1.94,1.59,0.11,2.16,1.31,1.44,1.65,3.03,1.76,0.33,3.61,2.51,2.17,0.57
"gene68",0.03,-0.02,-0.23,-0.19,-0.68,0.33,1.58,2.02,0.74,0.32,0.24,-1.15,1.89,-0.39,-2.42,-0.19,0.95,-2.24,0.98,1.96,0.9,-0.59,-0.69,0.38,0.75
"gene69",-0.27,-0.32,-1.91,-0.8,-0.37,1.03,0.15,0.54,1.11,0.19,0.38,-1.42,-0.05,1.64,0.81,1.48,-0.71,-0.19,-1.88,-0.34,-0.67,-0.64,0.7,-0.3,-1.14
"gene70",-1.55,1.26,1.35,-0.18,0.54,0.95,1.19,0.5,-0.5,0.75,-2.95,0.87,1.03,-0.96,-0.03,0.35,-0.29,0.58,-1.53,-0.15,0.45,-1.07,2.11,-1.49,-0.45
"gene71",0.75,1.12,-1.06,1.46,-1.06,-0.48,-0.46,0.68,-0.55,-1.04,0.58,0.02,-0.51,-1.49,0.8,0.26,0.53,-1.67,1.61,-0.52,0.47,-0.83,-0.93,1.58,0.21
"gene72",0.82,-0.11,0.65,-0.98,-0.57,-0.01,-1.14,1.51,0.66,0.39,0.41,-0.28,1.7,-2.03,-0.69,-1.94,-1.75,-0.04,0.73,-0.58,0.78,2.24,-0.53,-2.08,-0.72
"gene73",0.99,0.16,-1.62,-1.45,0.97,-2.17,-1.44,-0.41,-1.23,-0.13,1.21,-0.36,-0.64,1.11,-1.4,0.05,0.06,0.63,-0.27,-0.86,-1.06,1.05,-0.28,-0.11,-0.41
"gene74",-0.9,1.27,-0.72,-0.17,1.31,1.18,0.2,1.33,0.6,-0.61,0.1,1.47,-0.8,-0.26,0.52,-0.02,0.08,-1.07,-0.34,0.38,0.32,1.11,-1.82,0.55,0.5
"gene75",-0.71,-0.07,-0.8,-0.27,-1.66,0.63,0.76,1.13,0.61,0.29,0.69,-0.73,1.25,0.34,2.71,-1.75,2.61,0.36,1.52,0.33,0.63,-0.34,0.38,1.2,0.52
"gene76",2.92,-1.37,0.87,0.28,0.9,1.38,-0.57,0.52,0.37,1.12,-0.15,-0.63,-0.45,0.92,-0.68,-1.69,-0.04,-0.13,0,-0.14,0.81,1.43,0.06,-0.48,0.21
"gene77",1.04,0.59,-0.11,0.65,0.71,0.35,0.26,-0.11,0.93,-1.78,-0.4,0.42,0.13,-0.67,-0.97,0.56,0.43,-1.24,-0.19,0.89,0.64,-0.66,-0.71,-2.74,1.16
"gene78",-0.84,0.04,-0.52,1.51,-0.41,0.43,0.31,1.34,0.24,-0.78,-0.61,-0.1,-0.14,0.09,-0.05,-1.19,0.4,-0.42,0.79,-0.51,1.45,0.67,-1.3,1.1,-1.53
"gene79",-1.81,-0.25,-1.34,1.73,0.23,-0.26,0.12,-0.99,-0.61,-0.54,-0.6,-1.5,1.27,0,-0.24,1.64,0.95,-0.81,0.54,-2.22,0.75,0.51,-1.77,0.41,0.61
"gene80",0.59,-0.04,-0.75,0.79,1.42,-1.12,-0.4,0.8,1.01,0.04,0.94,0.63,0.75,1.22,-0.07,0.26,-0.95,0.81,0.48,0.9,0.11,-0.28,-0.37,0.19,-0.21
"gene81",-1.67,1.38,-0.18,2.47,0.2,-2.98,0.56,0.66,0.62,0.44,-1.42,-0.68,-0.11,-0.76,0.32,1.31,0.32,-1.06,0.74,1.24,0.65,0.18,-0.2,0.94,-0.46
"gene82",0.42,0.17,-0.37,1.16,1.41,-0.56,0.48,0.68,0.76,0.17,0.98,1.53,0.56,-0.44,0.32,-1.33,1.56,0.4,1.18,-1.29,-0.48,-1.02,0.61,-0.69,2.28
"gene83",0.83,-1.47,-0.22,-1.68,0.33,0.07,0.09,-0.23,-0.71,1,-0.31,0.65,-1.04,-1.2,-0.4,0.06,-1.02,-2.05,-1.16,-0.64,-0.98,-0.07,0.97,-0.75,0.85
"gene84",-1.85,-1.33,0.84,-0.81,-0.54,0.21,0.56,1.35,0.27,0.91,0.53,1.66,-1.27,-0.11,1.13,1.48,-2.03,-0.94,-1.87,-0.78,0.4,-1.75,-0.08,1.9,-1.16
"gene85",0.49,-0.07,-0.25,-1.85,0.35,-0.77,-2.02,-0.66,-0.77,-0.52,1,0.99,-0.79,-0.81,-0.34,-1.18,-0.52,-0.51,0.63,0.12,-0.92,1.1,1.18,0.24,-0.39
"gene86",1.71,-1.12,-0.23,-0.63,-1.25,2.24,1.18,1.91,1.34,-0.48,0.26,-2.54,1.98,-0.55,-0.37,2.13,0.78,0.12,0.18,-0.42,0.81,-0.73,-3.55,1.16,1.41
"gene87",-1.27,1.04,-1.16,-0.92,-0.52,-0.14,0.6,-0.24,0.41,0.76,0.02,-0.51,1.29,-0.9,1.16,1.13,-0.8,-0.65,0.31,1.06,2.79,2.05,0.27,-1.49,0.08
"gene88",-0.21,-1.56,-0.72,1.35,1.08,0.1,-1.91,-0.8,2.34,0.53,0.88,1.89,0.19,-0.29,-1.09,0.24,0.16,0.09,0.81,0.46,-0.94,-0.17,0.51,1.54,-1.14
"gene89",-1.63,-0.13,-0.55,0.2,-1.38,0.18,0.01,0.19,-0.15,-1.91,-0.06,0.79,-0.47,1.07,-1.25,-0.73,1.19,-1.88,0.89,-2.23,0.89,-1.4,-0.81,2.28,-1.2
"gene90",-2.98,1.33,-0.47,0.87,-0.33,-1.22,1.89,0.24,3.08,0.12,-0.41,-0.57,-0.55,1.63,-0.44,0.02,1.75,0.77,-0.33,-0.16,0.93,-0.06,-1.23,0.34,-0.24
"gene91",-0.41,0.75,-3.08,2.32,0.67,0.9,1.05,1.06,1.59,0.46,-0.56,0.82,1.06,0.16,-0.06,0.32,-2.09,0.58,0.24,-1.88,-0.97,-0.34,0.06,0.41,0.28
"gene92",0.35,0.28,-0.25,1.78,0.49,0.74,-0.77,0.28,-0.38,0.08,-0.34,-1.39,-1.5,0.06,0.36,0.39,-0.66,0.26,-0.08,0.19,0.1,-0.64,-0.95,-0.85,0.84
"gene93",-0.78,1.98,0.97,1.05,-0.59,0.95,0.76,0.87,-0.05,0.94,1.1,-0.8,0.83,-0.02,-1.18,-0.95,-0.15,0.1,-0.17,-0.15,2.12,0.13,-1.26,0.18,-0.68
"gene94",-0.5,1.34,1,1,-0.22,-0.96,0.67,-0.42,0.36,0.4,0.17,1.32,0.81,1.4,-0.29,0.37,-1.05,0.81,0.89,-0.56,1.75,-0.76,0.49,-0.73,-0.56
"gene95",0.11,0.11,0.02,-1.64,0.9,0.12,0.33,-0.24,-1.85,0.67,0.96,1.51,0.38,1.42,1,1.57,-0.13,-1,-0.09,-0.78,-2.14,0.77,1.87,-0.63,0.3
"gene96",-0.08,0.64,0.66,-1.34,0.19,-0.41,-0.26,0.53,0.01,-0.99,-0.57,2.15,-2.04,-1.74,0.73,-0.78,-0.17,1.63,-1.54,-0.28,0.42,1.29,-0.5,0.18,1.34
"gene97",-0.39,0.31,0.86,-0.77,-1.54,-0.89,-0.21,-1.38,0.13,-0.03,-0.31,0.79,-2.04,-0.69,-1.11,-0.01,0.14,1.53,0.69,1.55,0.82,-0.14,-0.59,1.64,-0.61
"gene98",-0.92,0.02,-1.12,-1.36,1.37,0.82,-0.02,0.11,0.36,0.4,0.86,-1.62,-0.75,-0.43,-0.13,1.15,-0.47,0.73,1.82,-0.27,0.06,1.56,0.29,1.23,-0.86
"gene99",0.7,0.95,-0.13,-1.59,0.4,0.01,-0.72,-0.81,-0.24,-1.48,-0.6,0.23,-1.15,1.17,0.34,1.67,-0.1,0.45,0.51,2.04,1.61,0.43,1.63,-0.41,0.9
"gene100",1.16,-0.8,0.27,1.16,-0.5,0.55,-1.57,-2.06,0.35,-0.29,-0.89,0.46,-1.15,-1.23,-1.11,0.27,-1.16,-0.87,0.57,0.12,1.31,-1.25,0.14,0.47,0.15
"gene101",-1.7,-0.4,1.16,-1.34,0.6,-2.03,0.17,-0.5,0.66,0.06,0.38,0.46,1.23,-1.3,1.54,-1.22,-0.56,-1.08,-1.11,-0.45,1.02,0.31,0.53,0.53,-0.28
"gene102",-0.26,-0.84,-0.05,-0.3,-2.51,-0.09,1.72,2.47,1.02,0.58,1.04,-0.8,-0.51,-0.48,0.85,0.7,0.32,0.23,-0.38,-0.04,1.16,-0.7,0.61,-0.87,-0.14
"gene103",-0.63,-0.19,-0.42,1.35,-0.44,0,1,-1.44,0.66,-0.64,1.32,-0.68,-0.54,-0.09,-1.32,-0.84,0.61,-1.72,-0.05,0.36,-0.75,0.86,-1.73,1.24,-0.2
"gene104",1.1,1.16,0.5,0.56,0.7,0.25,0.68,-0.63,-0.53,-1.23,-0.3,-0.05,1.65,2.32,0.38,-0.93,-0.84,-0.01,1.87,-0.51,-0.48,1.02,-0.48,0.43,0.04
"gene105",-0.2,-0.65,0.57,0.15,-0.93,-0.54,0.34,0.26,1.45,1.3,0.06,0.18,-0.51,0.57,-0.47,-0.51,-0.36,0.48,-1.64,-0.8,1.35,0.18,0.28,-0.55,-0.27
"gene106",-0.69,1.44,1.06,-0.07,-0.45,1.56,-0.77,1.39,-1.61,1.16,0.46,0.44,-1.7,-0.45,-0.14,-0.02,-0.08,0.96,0.03,0.85,-1.27,-0.56,-1.6,-0.52,-1.11
"gene107",2,0,-0.2,0.13,-0.06,0.89,1.1,-0.19,-1.48,-1.02,-2.09,0.71,0.69,0.1,-0.96,-0.97,1.63,-0.5,-0.39,0.13,0.23,0.07,-2.15,0.44,-0.53
"gene108",0.08,-0.68,-0.14,2.19,1.1,1.77,-0.38,0.71,-0.6,0.68,-0.16,-1.27,1.58,-0.1,-0.11,-0.35,-0.23,0.83,1,0.49,0.18,-0.28,0.9,0.15,-0.59
"gene109",-0.05,-0.92,-0.38,0.44,0.85,-0.15,0.87,1.31,0.06,-0.85,-2.64,0.73,-1.4,1.67,-0.76,-0.08,0.04,-2.25,-1.74,-0.84,0.65,-0.69,-0.05,1.28,0.17
"gene110",-2.49,0.51,-0.93,0.71,-1.14,0.71,-2.19,-1.01,1.1,-1.17,-0.93,0.44,-0.71,0.57,-1.03,0.33,0.58,0.01,-0.32,1.16,0.48,2.47,1.69,0.31,-0.01
"gene111",-1.12,0.56,1.13,0.99,-0.69,-0.36,0.76,-0.74,-0.7,-2.31,1.27,1.19,-0.08,1.78,0.3,0.6,-0.15,1.48,-1.45,1.82,-1,0.71,0.09,-1.3,-2.08
"gene112",-0.14,0.57,-0.5,-0.48,1.46,0.28,1.04,0.42,-0.28,0.75,-0.29,-1.21,0.74,0.2,0.46,0.51,-1.35,0.37,1.49,1.52,-1.73,-0.64,0.15,1.44,-1.03
"gene113",-0.68,-0.41,0.05,0.18,1.06,-0.41,0.89,0.65,-0.44,0.7,-0.66,-0.45,0.58,0.83,-0.27,-0.34,0.14,-0.93,1.09,1.44,1.05,0.34,-0.49,2.14,0.07
"gene114",0.19,0.45,-0.22,-1.82,1.44,-1.6,-1.57,0.01,1.1,-0.83,0.47,-0.93,-0.4,2.03,0.28,0.35,-0.13,0.5,-0.38,-0.06,-1.39,0.42,0.82,2.21,-0.72
"gene115",0.26,0.78,2.18,-0.67,0.34,-1.61,-0.98,1.23,-0.15,1.21,-0.51,-0.02,1.09,0.62,-1.46,-0.78,-1.42,0.42,1.76,0.12,-0.11,1.23,1.23,0.38,-0.33
"gene116",-0.19,-0.41,-1.4,-0.85,-0.72,-0.17,0.09,0.08,-1.05,1.09,0.98,-1.79,-1.68,-0.39,-0.45,0.66,-0.51,-0.12,-1.18,0.36,-0.11,0.68,0,-0.24,0.1
"gene117",-1.29,-0.54,-0.49,0.11,0.5,-0.83,-2.06,1.16,-1.38,-0.99,-0.62,0.63,-0.39,0.29,1.15,1.67,-0.47,-0.02,0.04,0.12,1.77,2.26,0.29,0.31,-1.59
"gene118",-0.15,-0.26,1.29,0.75,-0.9,-2.49,-0.64,0.52,1.43,0.61,0.65,-0.47,-0.3,-0.09,1.15,-1.48,0.84,-0.5,-0.88,0.03,-0.22,-1.32,-0.91,-0.14,1.41
