aff,op
dem,yes
dem,yes
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,no
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
dem,dk
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,yes
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,no
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
ind,dk
